,T,S3/T
383,81208.80880880881,4793058.708547885
384,81401.65165165166,4828286.232484414
385,81594.4944944945,4868897.126971684
386,81787.33733733735,4901044.1067281095
387,81980.18018018019,4936679.254232637
388,82173.02302302302,4973040.415968087
389,82365.86586586587,5010075.083925316
390,82558.70870870871,5048679.75562508
391,82751.55155155156,5085104.538960535
392,82944.3943943944,5118358.892812176
393,83137.23723723725,5153747.601192391
394,83330.08008008008,5195551.365977086
395,83522.92292292292,5230427.283655122
396,83715.76576576577,5266627.520949315
397,83908.60860860861,5305445.981651394
398,84101.45145145146,5360585.451422233
399,84294.2942942943,5395683.82497206
400,84487.13713713715,5430268.8801540695
401,84679.97997997998,5468674.231013053
402,84872.82282282283,5513292.628751038
403,85065.66566566567,5542177.480826355
404,85258.50850850852,5580502.194000969
405,85451.35135135136,5620216.295903237
406,85644.1941941942,5667362.201382304
407,85837.03703703704,5698577.009784622
408,86029.87987987988,5739534.061440087
409,86222.72272272273,5775364.256211579
410,86415.56556556557,5839498.974274132
411,86608.40840840842,5870743.16711361
412,86801.25125125126,5914723.22683888
413,86994.0940940941,5952268.622665873
414,87186.93693693694,5984708.196969641
415,87379.77977977978,6023989.134437471
416,87572.62262262263,6064126.512861659
417,87765.46546546547,6105221.459836252
418,87958.30830830832,6149190.68276722
419,88151.15115115116,6192696.8172351485
420,88343.993993994,6236002.916423194
421,88536.83683683684,6278618.533509439
422,88729.67967967968,6320268.315177321
423,88922.52252252253,6361245.648779098
424,89115.36536536537,6402409.390551742
425,89308.20820820822,6447338.392618129
426,89501.05105105105,6491010.657101117
427,89693.8938938939,6534501.167170118
428,89886.73673673674,6578280.915278092
429,90079.57957957959,6621783.7066528555
430,90272.42242242243,6665741.749830768
431,90465.26526526528,6710075.562043299
432,90658.1081081081,6755330.334938364
433,90850.95095095095,6800967.141466754
434,91043.7937937938,6847547.613902917
435,91236.63663663664,6893386.344743511
436,91429.47947947949,6964855.797338023
437,91622.32232232233,6993638.0372533435
438,91815.16516516518,7036101.437992654
439,92008.00800800801,7085534.356384914
440,92200.85085085085,7137742.413665339
441,92393.6936936937,7182673.129060973
442,92586.53653653654,7215682.860495006
443,92779.37937937939,7260524.996487406
444,92972.22222222223,7320151.091176117
445,93165.06506506506,7363086.389215204
446,93357.90790790791,7414069.915177784
447,93550.75075075075,7458466.1597171035
448,93743.5935935936,7511090.379723162
449,93936.43643643644,7547808.5122564975
450,94129.27927927929,7595750.727960473
451,94322.12212212213,7649295.064135871
452,94514.96496496497,7690256.229979257
453,94707.80780780781,7748050.503532575
454,94900.65065065066,7796438.925252744
455,95093.4934934935,7837905.851965935
456,95286.33633633635,7888894.742362645
457,95479.17917917919,7939581.644934524
458,95672.02202202202,7989478.49881916
