,T,S4,S3/T
103,30833.959731543626,27807024.107399594,101955.66208391465
104,31033.22147651007,29579750.008295577,105983.35777926129
105,31232.483221476512,31482554.710894354,110255.36839355917
106,31431.744966442955,33521133.266466897,114830.87452316782
107,31631.006711409398,35702367.91685203,119704.64961119358
108,31830.26845637584,38037025.98615163,124845.55256426976
109,32029.530201342284,40545155.26250801,129949.82714655739
110,32228.791946308727,43022568.00385762,135598.35419140477
111,32428.05369127517,45920087.26461489,141171.2702866226
112,32627.31543624161,49118911.02188606,147403.01395683532
113,32826.57718120805,52592259.20597201,154052.20887206067
114,33025.838926174496,56374803.13624734,161093.99388981488
115,33225.10067114094,60506251.36882824,168635.4918352223
116,33424.36241610738,65335535.24987152,176670.15117653087
117,33623.62416107382,70336134.6130108,185283.42843841133
118,33822.88590604027,75755183.39045678,194537.63621355602
119,34022.147651006715,81652433.85522428,204493.91431557015
120,34221.409395973154,88206726.55915982,215202.41904195826
121,34420.671140939594,95500833.76349097,226648.55091936153
122,34619.93288590604,103620122.34456798,238905.2339292344
123,34819.19463087249,112668656.33872785,252310.61183513288
124,35018.45637583893,122732784.34779876,266743.573557896
125,35217.718120805366,134026067.16963944,281611.2702516215
126,35416.97986577181,146694156.2612248,298286.91320516344
127,35616.24161073826,160949831.29317153,316461.46760285145
128,35815.5033557047,177046111.28159273,336548.8349480636
129,36014.76510067114,195288076.7832648,358027.9489269587
130,36214.026845637585,216039073.4893357,381876.8285729862
131,36413.28859060403,239746422.77753836,408200.85328929854
132,36612.55033557047,266948952.35272354,437496.9692351818
133,36811.81208053691,298313320.82188535,470046.21004738193
134,37011.07382550336,334663336.11581254,506324.7650279863
135,37210.335570469804,377024470.8038044,546912.7422642641
136,37409.597315436244,426688513.60947126,592518.9349491056
137,37608.85906040268,485292460.25062937,644016.2680961485
138,37808.12080536913,554935148.2727621,702476.568126078
139,38007.38255033558,638331896.2468473,769229.8794166739
140,38206.644295302016,739056378.7433544,845948.4364173971
141,38405.906040268455,861884727.3776996,934736.913158112
142,38605.1677852349,1013147803.7643803,1038293.9756647708
143,38804.42953020135,1201548248.1445289,1160143.8544266035
144,39003.69127516779,1439182048.6915483,1304950.5441226396
145,39202.95302013423,1743203749.978413,1478795.2307188776
146,39402.21476510067,2138451818.760578,1690031.9638199918
147,39601.476510067114,2661803328.075321,1950258.9172200097
148,39800.73825503356,3369559882.9697046,2275947.3440955523
149,40000.0,4350456322.412804,2691147.4278369346
