coupling,T,S3/T,r_c,phi_esc
1.04,7440.0,287.62815343602506,0.0027998540671001445,19513.217351814717
1.04,7460.0,300.46616478777986,0.0027628960734456644,20073.91775018687
1.04,7480.0,313.3840380092348,0.002728765641831149,20626.76905987483
1.04,7500.0,326.37109834136163,0.0026966596137527957,21171.356337186415
1.04,7520.0,339.45123894428264,0.002667078648445794,21709.94143950536
1.04,7540.0,352.627816693706,0.0026393239859408783,22242.752522018243
1.04,7560.0,365.8930955671216,0.002613387950567545,22769.51966889217
1.04,7580.0,379.2517017219989,0.002588226053246515,23290.702815369703
1.04,7600.0,392.7183497875799,0.00256547451099422,23807.631616453407
1.04,7620.0,406.2866223615219,0.002543616990010975,24319.828576904954
1.04,7640.0,419.97015170391165,0.002523583631514539,24828.57326719089
1.04,7660.0,433.7469843963032,0.0025039861847732355,25332.349627611125
1.04,7680.0,447.64440331775853,0.0024858257276257276,25833.320203679687
1.04,7700.0,461.6452189808941,0.0024682695851842122,26330.368994287113
1.04,7720.0,475.7607337154563,0.002450954978696909,26824.190421234845
1.04,7740.0,489.9972554034251,0.002435148556935103,27315.522517419726
1.04,7760.0,504.35267065154915,0.0024203090966626703,27804.09896204977
1.04,7780.0,518.8264774123563,0.002406065318823771,28290.12219584841
1.04,7800.0,533.4237799858747,0.0023924144542351567,28773.77106854516
1.04,7820.0,548.1437057423633,0.002379470569635094,29255.23242539575
1.04,7840.0,562.9869899585468,0.00236680958773258,29734.664268532128
1.04,7860.0,577.9402997236248,0.0023538952362968774,30211.15605411837
1.04,7880.0,593.0379645170088,0.0023427572990365733,30686.96405950394
1.04,7900.0,608.2655142906688,0.002331813745604315,31161.151372883323
1.04,7920.0,623.6068161524327,0.002320828882052267,31632.77034747906
1.04,7940.0,639.0852816769075,0.0023106965027994706,32103.55581166019
1.04,7960.0,654.7029126845226,0.0023010080490258305,32573.074294840044
1.04,7980.0,670.4372190087563,0.002291420193699439,33040.86651899155
1.04,8000.0,686.3059097573646,0.002282295011881977,33507.58329835656
1.04,8020.0,702.3093247598672,0.002273360797088131,33973.31277527928
1.04,8040.0,718.4290977124368,0.0022641049195997204,34436.98829797028
1.04,8060.0,734.7096711298184,0.002256577332018566,34900.99006562967
1.04,8080.0,751.1057707988369,0.002247912327536794,35363.073382779214
1.04,8100.0,767.4836124007376,0.0022400343194348446,35825.65061965902
1.04,8120.0,784.1731606093998,0.0022333200472722534,36287.621333233146
1.04,8140.0,800.9844534799435,0.002226052284853242,36747.84882146435
1.04,8160.0,817.9140785123595,0.0022184001975742813,37206.37429119992
1.04,8180.0,835.0105169380172,0.0022121498799072326,37665.64648466518
1.04,8200.0,852.2515735061633,0.0022056692533254678,38124.51915912975
1.04,8220.0,869.6074272281166,0.0021989794098499034,38581.5202260913
1.04,8240.0,887.1255359074838,0.00219308355592298,39039.12593580214
1.04,8260.0,904.7789003083378,0.0021871157837812893,39495.83726754632
1.04,8280.0,922.5784319616203,0.002181253618660649,39952.32332315848
1.04,8300.0,940.524787013148,0.0021756219888694967,40408.61529060812
1.04,8320.0,958.6073642131587,0.002170165688645157,40864.11280142117
1.04,8340.0,976.8379925051464,0.0021644973954312993,41319.474181031495
1.04,8360.0,995.2179357305464,0.0021593116737896254,41774.737564166244
1.04,8380.0,1013.7476167796649,0.0021545416677854084,42229.91415988351
1.05,7000.0,34.38931276616912,0.008986022354062347,3843.8868192037917
1.05,7020.0,54.121142747928275,0.006342227999267241,5713.4864856884815
1.05,7040.0,70.39717481525057,0.005313845068481406,7087.402002450632
1.05,7060.0,85.06875964647224,0.00473066586504458,8233.831672485321
1.05,7080.0,98.87271753783195,0.004343035005774808,9245.026793602796
1.05,7100.0,112.15710498699391,0.004060881260028824,10162.751981511654
1.05,7120.0,125.08691881000907,0.0038465783119452646,11012.598396481277
1.05,7140.0,137.73822768114297,0.0036728198037364523,11809.982573670044
1.05,7160.0,150.26561952518128,0.003531407659094082,12567.064183584065
1.05,7180.0,162.65512903104536,0.003412217878570781,13289.063315739724
1.05,7200.0,174.9758399408938,0.003309849006894965,13982.748394081209
1.05,7220.0,187.2678962842214,0.0032203423399344935,14652.564097185867
1.05,7240.0,199.55284874384017,0.003143116406405372,15302.971361104079
1.05,7260.0,211.82539512308702,0.0030740246022526443,15934.12927096033
1.05,7280.0,224.12510148776042,0.0030126071802818923,16549.69994007364
1.05,7300.0,236.45690316794162,0.002957386375985829,17151.14062049413
1.05,7320.0,248.83333954081655,0.0029061134362649717,17740.8748750627
1.05,7340.0,261.2541996795866,0.002859360107728949,18318.342610829466
1.05,7360.0,273.7540784789766,0.002818194227793508,18886.896651182135
1.05,7380.0,286.31998586179304,0.0027793163120868308,19446.238965082943
1.05,7400.0,298.9387564953284,0.0027425705205767277,19995.796719550533
1.05,7420.0,311.65970036723394,0.0027107183331586326,20539.411163078796
1.05,7440.0,324.46026090694613,0.0026795005336855177,21075.938556212815
1.05,7460.0,337.3381897323033,0.0026500807948681496,21605.228983564724
1.05,7480.0,350.31645964009186,0.002623663717476976,22129.43639400709
