lambda,T,S3/T,r_c,phi_esc,Gamma_H4
0.4,17677.199999999837,253.99210164116215,0.2641062789224754,58651.198222538886,3.6926122268357606e-73
0.4,17677.174999999836,253.56176026917163,0.2378539820102577,58670.179383864146,5.663976586222254e-73
0.4,17677.149999999834,253.13105714387578,0.224180765410416,58689.30665541568,8.690874837891774e-73
0.4,17677.124999999833,252.6911649167347,0.2286232130715243,58708.73657959217,1.3457696893971468e-72
0.4,17677.09999999983,252.2576691319235,0.22944826326107381,58728.06207374769,2.0706876555667293e-72
0.4,17677.07499999983,251.82219142098683,0.22903949270353174,58747.67604314822,3.192362018756943e-72
0.4,17677.04999999983,251.39524263652444,0.2250026428662411,58766.42177043143,4.880066761516449e-72
0.4,17677.024999999827,250.9519700400996,0.2315074654970754,58786.1039443317,7.582012233878851e-72
0.4,17676.999999999825,250.51910165989182,0.23364033346684823,58805.29861334979,1.1658689266748071e-71
0.4,17676.974999999824,250.08399966175625,0.22415016133016183,58824.66157804795,1.7967069952923434e-71
0.4,17676.949999999822,249.64090784522188,0.2510577438377798,58844.30472685438,2.7909490149344737e-71
0.4,17676.92499999982,249.19797684924498,0.23380884495260298,58863.85581823842,4.334660334868473e-71
0.4,17676.89999999982,248.75706691288494,0.30720668679455854,58883.441537611376,6.71867664864459e-71
0.4,17676.874999999818,248.31821210427694,0.23406418242999344,58902.94476404169,1.0392576330248676e-70
0.4,17676.849999999817,247.87238638391256,0.23766344134970432,58922.711606951816,1.6187127193104883e-70
0.4,17676.824999999815,247.43303584404714,0.2433349374304625,58942.28491179816,2.50506581862431e-70
0.4,17676.799999999814,246.9952206167805,0.23560173224427997,58961.624180001905,3.870826633289358e-70
0.4,17676.774999999812,246.54535792872818,0.23561072917687792,58981.48638407074,6.053221514041287e-70
0.4,17676.74999999981,246.09901190250181,0.23644093990258314,59001.27492142982,9.432988099105339e-70
0.4,17676.72499999981,245.6552479425106,0.3112265928970498,59021.09561667965,1.4662071511965197e-69
0.4,17676.699999999808,245.20318747012567,0.2827918625825505,59040.95141590221,2.2978429492712567e-69
0.4,17676.674999999806,244.75708113696018,0.26019167795172693,59060.84285264865,3.579918465790191e-69
0.4,17676.649999999805,244.31580205662414,0.23642898059997475,59080.389304579585,5.550603260728454e-69
0.4,17676.624999999804,243.85774101175235,0.3139426604950325,59100.60854528781,8.750816902940015e-69
0.4,17676.599999999802,243.41315499729464,0.2617061185542037,59120.62835188384,1.3612523471958332e-68
0.4,17676.5749999998,242.96656955716767,0.2333080554804786,59140.28503590249,2.1217269447562747e-68
0.4,17676.5499999998,242.5116915797022,0.2557660003441353,59160.44199193401,3.3343967109487486e-68
0.4,17676.524999999798,242.06263517281903,0.24165759558452019,59180.45522644068,5.2099090931142566e-68
0.4,17676.499999999796,241.60397312517736,0.2421263932445055,59200.68012151266,8.21838641908704e-68
