r,phi
0.009928135663114237,95.84988806223555
0.009963217355284396,93.87218321257387
0.009998299047454555,91.9301758150541
0.010033380739624715,90.02502594157704
0.010068462431794874,88.15705870768579
0.010103544123965033,86.32578416177421
0.010138625816135194,84.53071235214884
0.010173707508305353,82.77135332714533
0.010208789200475512,81.0472171350848
0.010243870892645673,79.35781382427376
0.010278952584815832,77.70265344303334
0.010314034276985991,76.08124603968463
0.01034911596915615,74.49310166254872
0.010384197661326311,72.93773035999038
0.01041927935349647,71.4146421802725
0.010454361045666629,69.92334717173071
0.01048944273783679,68.46335538270068
0.010524524430006949,67.03417686151806
0.010559606122177108,65.63532165647484
0.010594687814347267,64.26629981590668
0.010629769506517428,62.92662138812011
0.010664851198687587,61.615796421450796
0.010699932890857746,60.333334964248934
0.010735014583027907,59.07874706474831
0.010770096275198066,57.851542771401
0.010805177967368225,56.65123213241168
0.010840259659538385,55.477325196174206
0.010875341351708544,54.32933201098058
0.010910423043878703,53.206762625137344
0.010945504736048862,52.10912708702381
0.010980586428219023,51.03593544490286
0.011015668120389182,49.986697747110156
0.011050749812559341,48.960924041995895
0.011085831504729502,47.95812437785207
0.011120913196899661,46.97780880299979
0.01115599488906982,46.019487365774694
0.01119107658123998,45.08267011449789
0.01122615827341014,44.16686709749047
0.011261239965580299,43.27158836307353
0.011296321657750458,42.39634395955363
0.011331403349920619,41.54064393528097
0.011366485042090778,40.70399833856209
0.011401566734260937,39.88591721771809
0.011436648426431098,39.08591062108462
0.011471730118601257,38.303488596953684
0.011506811810771416,37.538161193660926
0.011541893502941575,36.789438459542
0.011576975195111736,36.056830442918
0.011612056887281895,35.339847192095476
0.011647138579452054,34.63799875541008
0.011682220271622214,33.95079518115381
0.011717301963792373,33.27774651767686
0.011752383655962532,32.61836281331489
0.011787465348132692,31.97215411635989
0.011822547040302852,31.33863047513296
0.011857628732473011,30.717301937984303
0.01189271042464317,30.107678553205915
0.011927792116813331,29.509270369148
0.01196287380898349,28.9215874341171
0.01199795550115365,28.344139796419768
0.012033037193323808,27.776437504406204
0.012068118885493969,27.217990606382955
0.012103200577664128,26.66830915067112
0.012138282269834287,26.12778137845453
0.012173363962004448,25.597089558737935
0.012208445654174607,25.076118299897644
0.012243527346344766,24.56475206030882
0.012278609038514927,24.062875298419385
0.012313690730685086,23.570372472546296
0.012348772422855245,23.08712804118113
0.012383854115025404,22.613026462640846
0.012418935807195565,22.147952195373364
0.012454017499365724,21.691789697753848
0.012489099191535883,21.244423428172013
0.012524180883706043,20.805737845032127
0.012559262575876202,20.375617406738456
0.012594344268046362,19.953946571651613
0.01262942596021652,19.54060979820497
0.012664507652386681,19.135491544759134
0.01269958934455684,18.73847626976203
0.012734671036727,18.349448431559722
0.01276975272889716,17.968292488571024
0.01280483442106732,17.594892899214756
0.012839916113237478,17.229134121822426
0.012874997805407639,16.870900614812854
0.012910079497577798,16.520076836648514
0.012945161189747957,16.17654724563181
0.012980242881918116,15.840196300196112
0.013015324574088277,15.510908458774793
0.013050406266258436,15.18856817969936
0.013085487958428595,14.87305992138863
0.013120569650598756,14.564268142275978
0.013155651342768915,14.26207730070746
0.013190733034939074,13.966371855101897
0.013225814727109233,13.677036263834452
0.013260896419279394,13.393954985338496
0.013295978111449553,13.117012477960088
0.013331059803619712,12.846093200118048
0.013366141495789872,12.581081610245747
0.013401223187960032,12.321862166703795
0.01343630488013019,12.068319327867357
0.01347138657230035,11.820337552169804
0.01350646826447051,11.577801297986298
0.01354154995664067,11.340595023706555
0.013576631648810828,11.108603187734843
0.01361171334098099,10.88171024848998
0.013646795033151148,10.659800664332579
0.013681876725321307,10.44275889369601
0.013716958417491468,10.230469394926331
0.013752040109661627,10.022816626456915
0.013787121801831786,9.819685046662926
0.013822203494001945,9.620959113963181
0.013857285186172106,9.426523286732845
0.013892366878342265,9.236262023361633
