Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 224.76 ms/step | ETA: 5619.0 min

*** phi threshold exceeded: max|phi|=263782.3 > 50000.0
*** Switching to dense snapshots: every 5 steps

Step 165/1500000 | t=8.25e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.7 steps/s | 267.39 ms/step | ETA: 6684.0 min
Step 170/1500000 | t=8.50e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.8 steps/s | 265.74 ms/step | ETA: 6642.8 min
Step 175/1500000 | t=8.75e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.8 steps/s | 264.07 ms/step | ETA: 6601.0 min
Step 180/1500000 | t=9.00e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.8 steps/s | 263.00 ms/step | ETA: 6574.3 min
Step 185/1500000 | t=9.25e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.8 steps/s | 261.48 ms/step | ETA: 6536.1 min
Step 190/1500000 | t=9.50e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.8 steps/s | 260.13 ms/step | ETA: 6502.4 min
Step 195/1500000 | t=9.75e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.9 steps/s | 258.83 ms/step | ETA: 6469.9 min
Step 200/1500000 | t=1.00e-01 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.9 steps/s | 257.65 ms/step | ETA: 6440.4 min
Step 205/1500000 | t=1.02e-01 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.9 steps/s | 257.88 ms/step | ETA: 6446.1 min
Step 210/1500000 | t=1.05e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 3.9 steps/s | 256.63 ms/step | ETA: 6414.9 min
Step 215/1500000 | t=1.07e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 3.9 steps/s | 255.58 ms/step | ETA: 6388.7 min
Step 220/1500000 | t=1.10e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 3.9 steps/s | 254.40 ms/step | ETA: 6359.1 min
Step 225/1500000 | t=1.13e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 3.9 steps/s | 253.54 ms/step | ETA: 6337.7 min
Step 230/1500000 | t=1.15e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 252.54 ms/step | ETA: 6312.5 min
Step 235/1500000 | t=1.17e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 251.55 ms/step | ETA: 6287.8 min
Step 240/1500000 | t=1.20e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 250.70 ms/step | ETA: 6266.6 min
Step 245/1500000 | t=1.22e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 249.79 ms/step | ETA: 6243.8 min
Step 250/1500000 | t=1.25e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 248.95 ms/step | ETA: 6222.7 min
Step 255/1500000 | t=1.28e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 249.37 ms/step | ETA: 6233.3 min
Step 260/1500000 | t=1.30e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 248.76 ms/step | ETA: 6218.0 min
Step 265/1500000 | t=1.33e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 247.91 ms/step | ETA: 6196.5 min
Step 270/1500000 | t=1.35e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.0 steps/s | 247.16 ms/step | ETA: 6177.9 min
Step 275/1500000 | t=1.38e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.1 steps/s | 246.54 ms/step | ETA: 6162.3 min
Step 280/1500000 | t=1.40e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.1 steps/s | 245.86 ms/step | ETA: 6145.4 min
Step 285/1500000 | t=1.42e-01 | T=7405.0 | a=1.000003 | H=2.41e-05 | 4.1 steps/s | 245.29 ms/step | ETA: 6131.1 min
Step 290/1500000 | t=1.45e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 244.65 ms/step | ETA: 6115.2 min
Step 295/1500000 | t=1.47e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 243.99 ms/step | ETA: 6098.6 min
Step 300/1500000 | t=1.50e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 243.39 ms/step | ETA: 6083.5 min
Step 305/1500000 | t=1.52e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 243.76 ms/step | ETA: 6092.7 min
Step 310/1500000 | t=1.55e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 243.28 ms/step | ETA: 6080.7 min
Step 315/1500000 | t=1.58e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 242.72 ms/step | ETA: 6066.7 min
Step 320/1500000 | t=1.60e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 242.21 ms/step | ETA: 6054.0 min
Step 325/1500000 | t=1.63e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 241.77 ms/step | ETA: 6043.0 min
Step 330/1500000 | t=1.65e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.1 steps/s | 241.20 ms/step | ETA: 6028.7 min
Step 335/1500000 | t=1.68e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 240.77 ms/step | ETA: 6017.9 min
Step 340/1500000 | t=1.70e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 240.31 ms/step | ETA: 6006.3 min
Step 345/1500000 | t=1.72e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 239.85 ms/step | ETA: 5995.0 min
Step 350/1500000 | t=1.75e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 239.41 ms/step | ETA: 5983.7 min
Step 355/1500000 | t=1.77e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 239.80 ms/step | ETA: 5993.6 min
Step 360/1500000 | t=1.80e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 239.52 ms/step | ETA: 5986.7 min
Step 365/1500000 | t=1.82e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 239.12 ms/step | ETA: 5976.6 min
Step 370/1500000 | t=1.85e-01 | T=7405.0 | a=1.000004 | H=2.41e-05 | 4.2 steps/s | 238.69 ms/step | ETA: 5965.7 min
Step 375/1500000 | t=1.88e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 238.35 ms/step | ETA: 5957.2 min
Step 380/1500000 | t=1.90e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 237.92 ms/step | ETA: 5946.6 min
Step 385/1500000 | t=1.93e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 237.58 ms/step | ETA: 5938.1 min
Step 390/1500000 | t=1.95e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 237.19 ms/step | ETA: 5928.1 min
Step 395/1500000 | t=1.98e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 236.81 ms/step | ETA: 5918.8 min
Step 400/1500000 | t=2.00e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 236.51 ms/step | ETA: 5911.2 min
Step 405/1500000 | t=2.03e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 236.95 ms/step | ETA: 5922.2 min
Step 410/1500000 | t=2.05e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 236.56 ms/step | ETA: 5912.5 min
Step 415/1500000 | t=2.07e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 236.20 ms/step | ETA: 5903.4 min
Step 420/1500000 | t=2.10e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 235.85 ms/step | ETA: 5894.7 min
Step 425/1500000 | t=2.12e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 235.56 ms/step | ETA: 5887.2 min
Step 430/1500000 | t=2.15e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.2 steps/s | 235.34 ms/step | ETA: 5881.9 min
Step 435/1500000 | t=2.17e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.3 steps/s | 234.96 ms/step | ETA: 5872.4 min
Step 440/1500000 | t=2.20e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.3 steps/s | 234.63 ms/step | ETA: 5864.0 min
Step 445/1500000 | t=2.23e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.3 steps/s | 234.32 ms/step | ETA: 5856.2 min
Step 450/1500000 | t=2.25e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.3 steps/s | 234.05 ms/step | ETA: 5849.5 min
Step 455/1500000 | t=2.28e-01 | T=7405.0 | a=1.000005 | H=2.41e-05 | 4.3 steps/s | 234.45 ms/step | ETA: 5859.5 min
Step 460/1500000 | t=2.30e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 234.32 ms/step | ETA: 5856.2 min
Step 465/1500000 | t=2.33e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 234.00 ms/step | ETA: 5848.2 min
Step 470/1500000 | t=2.35e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 233.77 ms/step | ETA: 5842.4 min
Step 475/1500000 | t=2.37e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 233.54 ms/step | ETA: 5836.7 min
Step 480/1500000 | t=2.40e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 233.35 ms/step | ETA: 5831.9 min
Step 485/1500000 | t=2.42e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 233.10 ms/step | ETA: 5825.7 min
Step 490/1500000 | t=2.45e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.85 ms/step | ETA: 5819.4 min
Step 495/1500000 | t=2.47e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.58 ms/step | ETA: 5812.5 min
Step 500/1500000 | t=2.50e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.32 ms/step | ETA: 5806.0 min
Step 505/1500000 | t=2.53e-01 | T=7405.0 | a=1.000006 | H=2.41e-05 | 4.3 steps/s | 232.62 ms/step | ETA: 5813.6 min
