Step 3450000/1000000000 | t=8.63e-01 | T=7349.8 | a=1.000020 | H=2.41e-05 | 168.8 steps/s | 5.92 ms/step | ETA: 98404.9 min
Step 3500000/1000000000 | t=8.75e-01 | T=7349.8 | a=1.000021 | H=2.41e-05 | 171.3 steps/s | 5.84 ms/step | ETA: 96970.9 min
Step 3550000/1000000000 | t=8.88e-01 | T=7349.8 | a=1.000021 | H=2.41e-05 | 173.7 steps/s | 5.76 ms/step | ETA: 95607.5 min
Step 3600000/1000000000 | t=9.00e-01 | T=7349.8 | a=1.000021 | H=2.41e-05 | 176.1 steps/s | 5.68 ms/step | ETA: 94315.5 min
Step 3650000/1000000000 | t=9.13e-01 | T=7349.8 | a=1.000022 | H=2.41e-05 | 178.4 steps/s | 5.61 ms/step | ETA: 93075.7 min
Step 3700000/1000000000 | t=9.25e-01 | T=7349.8 | a=1.000022 | H=2.41e-05 | 180.7 steps/s | 5.53 ms/step | ETA: 91905.2 min
Step 3750000/1000000000 | t=9.38e-01 | T=7349.8 | a=1.000022 | H=2.41e-05 | 182.9 steps/s | 5.47 ms/step | ETA: 90795.4 min
Step 3800000/1000000000 | t=9.50e-01 | T=7349.8 | a=1.000023 | H=2.41e-05 | 185.1 steps/s | 5.40 ms/step | ETA: 89715.6 min
Step 3850000/1000000000 | t=9.63e-01 | T=7349.8 | a=1.000023 | H=2.41e-05 | 187.2 steps/s | 5.34 ms/step | ETA: 88689.2 min
Step 3900000/1000000000 | t=9.75e-01 | T=7349.8 | a=1.000023 | H=2.41e-05 | 189.3 steps/s | 5.28 ms/step | ETA: 87698.9 min
Step 3950000/1000000000 | t=9.88e-01 | T=7349.8 | a=1.000023 | H=2.41e-05 | 191.4 steps/s | 5.23 ms/step | ETA: 86743.5 min
Step 4000000/1000000000 | t=1.00e+00 | T=7349.8 | a=1.000024 | H=2.41e-05 | 193.4 steps/s | 5.17 ms/step | ETA: 85832.1 min
Step 4050000/1000000000 | t=1.01e+00 | T=7349.8 | a=1.000024 | H=2.41e-05 | 195.4 steps/s | 5.12 ms/step | ETA: 84962.8 min
Step 4100000/1000000000 | t=1.03e+00 | T=7349.8 | a=1.000024 | H=2.41e-05 | 197.3 steps/s | 5.07 ms/step | ETA: 84114.3 min
Step 4150000/1000000000 | t=1.04e+00 | T=7349.8 | a=1.000025 | H=2.41e-05 | 199.2 steps/s | 5.02 ms/step | ETA: 83304.8 min
Step 4200000/1000000000 | t=1.05e+00 | T=7349.8 | a=1.000025 | H=2.41e-05 | 201.1 steps/s | 4.97 ms/step | ETA: 82533.3 min
Step 4250000/1000000000 | t=1.06e+00 | T=7349.8 | a=1.000025 | H=2.41e-05 | 202.9 steps/s | 4.93 ms/step | ETA: 81784.6 min
Step 4300000/1000000000 | t=1.08e+00 | T=7349.8 | a=1.000026 | H=2.41e-05 | 204.7 steps/s | 4.88 ms/step | ETA: 81051.6 min
Step 4350000/1000000000 | t=1.09e+00 | T=7349.8 | a=1.000026 | H=2.41e-05 | 206.6 steps/s | 4.84 ms/step | ETA: 80336.0 min
Step 4400000/1000000000 | t=1.10e+00 | T=7349.8 | a=1.000026 | H=2.41e-05 | 208.3 steps/s | 4.80 ms/step | ETA: 79655.1 min
Step 4450000/1000000000 | t=1.11e+00 | T=7349.8 | a=1.000026 | H=2.41e-05 | 210.0 steps/s | 4.76 ms/step | ETA: 78999.5 min
Step 4500000/1000000000 | t=1.13e+00 | T=7349.8 | a=1.000027 | H=2.41e-05 | 211.8 steps/s | 4.72 ms/step | ETA: 78352.5 min
Step 4550000/1000000000 | t=1.14e+00 | T=7349.8 | a=1.000027 | H=2.41e-05 | 213.4 steps/s | 4.69 ms/step | ETA: 77731.3 min
Step 4600000/1000000000 | t=1.15e+00 | T=7349.8 | a=1.000027 | H=2.41e-05 | 215.1 steps/s | 4.65 ms/step | ETA: 77134.1 min
Step 4650000/1000000000 | t=1.16e+00 | T=7349.8 | a=1.000028 | H=2.41e-05 | 216.6 steps/s | 4.62 ms/step | ETA: 76572.8 min
Step 4700000/1000000000 | t=1.18e+00 | T=7349.8 | a=1.000028 | H=2.41e-05 | 218.2 steps/s | 4.58 ms/step | ETA: 76036.4 min
Step 4750000/1000000000 | t=1.19e+00 | T=7349.8 | a=1.000028 | H=2.41e-05 | 219.7 steps/s | 4.55 ms/step | ETA: 75514.1 min
Step 4800000/1000000000 | t=1.20e+00 | T=7349.8 | a=1.000029 | H=2.41e-05 | 221.1 steps/s | 4.52 ms/step | ETA: 75008.9 min
Step 4850000/1000000000 | t=1.21e+00 | T=7349.8 | a=1.000029 | H=2.41e-05 | 222.6 steps/s | 4.49 ms/step | ETA: 74524.3 min
Step 4900000/1000000000 | t=1.23e+00 | T=7349.8 | a=1.000029 | H=2.41e-05 | 224.0 steps/s | 4.47 ms/step | ETA: 74053.6 min
Step 4950000/1000000000 | t=1.24e+00 | T=7349.8 | a=1.000029 | H=2.41e-05 | 225.3 steps/s | 4.44 ms/step | ETA: 73597.3 min
Step 5000000/1000000000 | t=1.25e+00 | T=7349.8 | a=1.000030 | H=2.41e-05 | 226.7 steps/s | 4.41 ms/step | ETA: 73139.1 min
Step 5050000/1000000000 | t=1.26e+00 | T=7349.8 | a=1.000030 | H=2.41e-05 | 228.1 steps/s | 4.38 ms/step | ETA: 72691.8 min
Step 5100000/1000000000 | t=1.28e+00 | T=7349.8 | a=1.000030 | H=2.41e-05 | 229.5 steps/s | 4.36 ms/step | ETA: 72262.1 min
Step 5150000/1000000000 | t=1.29e+00 | T=7349.8 | a=1.000031 | H=2.41e-05 | 230.8 steps/s | 4.33 ms/step | ETA: 71845.7 min
Step 5200000/1000000000 | t=1.30e+00 | T=7349.8 | a=1.000031 | H=2.41e-05 | 232.1 steps/s | 4.31 ms/step | ETA: 71432.3 min
Step 5250000/1000000000 | t=1.31e+00 | T=7349.8 | a=1.000031 | H=2.41e-05 | 233.4 steps/s | 4.28 ms/step | ETA: 71031.3 min
Step 5300000/1000000000 | t=1.33e+00 | T=7349.8 | a=1.000032 | H=2.41e-05 | 234.7 steps/s | 4.26 ms/step | ETA: 70643.4 min
Step 5350000/1000000000 | t=1.34e+00 | T=7349.8 | a=1.000032 | H=2.41e-05 | 235.9 steps/s | 4.24 ms/step | ETA: 70263.2 min
Step 5400000/1000000000 | t=1.35e+00 | T=7349.8 | a=1.000032 | H=2.41e-05 | 237.2 steps/s | 4.22 ms/step | ETA: 69894.6 min
Step 5450000/1000000000 | t=1.36e+00 | T=7349.8 | a=1.000032 | H=2.41e-05 | 238.4 steps/s | 4.19 ms/step | ETA: 69530.6 min
Step 5500000/1000000000 | t=1.38e+00 | T=7349.8 | a=1.000033 | H=2.41e-05 | 239.6 steps/s | 4.17 ms/step | ETA: 69178.2 min
Step 5550000/1000000000 | t=1.39e+00 | T=7349.8 | a=1.000033 | H=2.41e-05 | 240.8 steps/s | 4.15 ms/step | ETA: 68837.3 min
Step 5600000/1000000000 | t=1.40e+00 | T=7349.8 | a=1.000033 | H=2.41e-05 | 241.9 steps/s | 4.13 ms/step | ETA: 68502.1 min
Step 5650000/1000000000 | t=1.41e+00 | T=7349.8 | a=1.000034 | H=2.41e-05 | 243.1 steps/s | 4.11 ms/step | ETA: 68174.8 min
Step 5700000/1000000000 | t=1.43e+00 | T=7349.8 | a=1.000034 | H=2.41e-05 | 244.2 steps/s | 4.10 ms/step | ETA: 67861.7 min
Step 5750000/1000000000 | t=1.44e+00 | T=7349.7 | a=1.000034 | H=2.41e-05 | 245.3 steps/s | 4.08 ms/step | ETA: 67557.6 min
Step 5800000/1000000000 | t=1.45e+00 | T=7349.7 | a=1.000035 | H=2.41e-05 | 246.4 steps/s | 4.06 ms/step | ETA: 67260.4 min
Step 5850000/1000000000 | t=1.46e+00 | T=7349.7 | a=1.000035 | H=2.41e-05 | 247.4 steps/s | 4.04 ms/step | ETA: 66970.2 min
Step 5900000/1000000000 | t=1.48e+00 | T=7349.7 | a=1.000035 | H=2.41e-05 | 248.4 steps/s | 4.03 ms/step | ETA: 66688.1 min
Step 5950000/1000000000 | t=1.49e+00 | T=7349.7 | a=1.000035 | H=2.41e-05 | 249.5 steps/s | 4.01 ms/step | ETA: 66410.4 min
Step 6000000/1000000000 | t=1.50e+00 | T=7349.7 | a=1.000036 | H=2.41e-05 | 250.5 steps/s | 3.99 ms/step | ETA: 66137.4 min
Step 6050000/1000000000 | t=1.51e+00 | T=7349.7 | a=1.000036 | H=2.41e-05 | 251.5 steps/s | 3.98 ms/step | ETA: 65871.6 min
Step 6100000/1000000000 | t=1.53e+00 | T=7349.7 | a=1.000036 | H=2.41e-05 | 252.5 steps/s | 3.96 ms/step | ETA: 65613.3 min
Step 6150000/1000000000 | t=1.54e+00 | T=7349.7 | a=1.000037 | H=2.41e-05 | 253.4 steps/s | 3.95 ms/step | ETA: 65367.8 min
Step 6200000/1000000000 | t=1.55e+00 | T=7349.7 | a=1.000037 | H=2.41e-05 | 254.4 steps/s | 3.93 ms/step | ETA: 65119.6 min
