======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-19 19:27:49
Log file: logs/simulation_20260219_192749.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
OVERDAMPED MODE: η = 10.0 (rescaled: 1.00e-02)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7341.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7341.0...
  V'(0) = -3.3898e-08
  V'(VEV) = 7.1194e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = -3.3898e-08
  V'(1e0)   = -3.3899e+02
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  No barrier: V' < 0 everywhere (spinodal regime)
  Using thermal VEV: 1.0000e+11
  V'(escape) = 7.1194e-31

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_10/field_states
Figures will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_10/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 1000000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.8317e-05)
Overdamped mode: ENABLED (η = 10.0, no ringing)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/1000000000 | t=0.00e+00 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1196.3 steps/s | 0.00 ms/step | ETA: 0.0 min
Step 750000/1000000000 | t=7.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1154.6 steps/s | 0.87 ms/step | ETA: 14423.7 min
Step 800000/1000000000 | t=8.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1156.6 steps/s | 0.86 ms/step | ETA: 14398.6 min
Step 850000/1000000000 | t=8.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1162.9 steps/s | 0.86 ms/step | ETA: 14320.1 min
Step 900000/1000000000 | t=9.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1168.4 steps/s | 0.86 ms/step | ETA: 14251.4 min
Step 950000/1000000000 | t=9.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1173.1 steps/s | 0.85 ms/step | ETA: 14193.7 min
Step 1000000/1000000000 | t=1.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1178.1 steps/s | 0.85 ms/step | ETA: 14132.6 min
Step 1050000/1000000000 | t=1.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1184.1 steps/s | 0.84 ms/step | ETA: 14060.5 min
Step 1100000/1000000000 | t=1.10e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1189.6 steps/s | 0.84 ms/step | ETA: 13995.4 min
Step 1150000/1000000000 | t=1.15e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1194.4 steps/s | 0.84 ms/step | ETA: 13937.8 min
Step 1200000/1000000000 | t=1.20e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1198.8 steps/s | 0.83 ms/step | ETA: 13885.5 min
Step 1250000/1000000000 | t=1.25e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1199.5 steps/s | 0.83 ms/step | ETA: 13877.1 min
Step 1300000/1000000000 | t=1.30e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1201.7 steps/s | 0.83 ms/step | ETA: 13851.5 min
Step 1350000/1000000000 | t=1.35e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1202.5 steps/s | 0.83 ms/step | ETA: 13840.8 min
Step 1400000/1000000000 | t=1.40e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1204.5 steps/s | 0.83 ms/step | ETA: 13817.3 min
Step 1450000/1000000000 | t=1.45e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1206.8 steps/s | 0.83 ms/step | ETA: 13790.1 min
Step 1500000/1000000000 | t=1.50e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1209.4 steps/s | 0.83 ms/step | ETA: 13760.6 min
Step 1550000/1000000000 | t=1.55e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1212.5 steps/s | 0.82 ms/step | ETA: 13724.4 min
Step 1600000/1000000000 | t=1.60e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1216.2 steps/s | 0.82 ms/step | ETA: 13681.9 min
Step 1650000/1000000000 | t=1.65e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1218.7 steps/s | 0.82 ms/step | ETA: 13653.5 min
Step 1700000/1000000000 | t=1.70e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1221.2 steps/s | 0.82 ms/step | ETA: 13625.1 min
Step 1750000/1000000000 | t=1.75e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1223.8 steps/s | 0.82 ms/step | ETA: 13594.7 min
Step 1800000/1000000000 | t=1.80e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1226.6 steps/s | 0.82 ms/step | ETA: 13563.1 min
Step 1850000/1000000000 | t=1.85e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1228.6 steps/s | 0.81 ms/step | ETA: 13540.7 min
Step 1900000/1000000000 | t=1.90e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1229.2 steps/s | 0.81 ms/step | ETA: 13532.9 min
Step 1950000/1000000000 | t=1.95e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1227.7 steps/s | 0.81 ms/step | ETA: 13549.6 min
Step 2000000/1000000000 | t=2.00e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1226.9 steps/s | 0.82 ms/step | ETA: 13557.5 min
Step 2050000/1000000000 | t=2.05e-02 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1225.1 steps/s | 0.82 ms/step | ETA: 13576.8 min
Step 2100000/1000000000 | t=2.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1224.6 steps/s | 0.82 ms/step | ETA: 13581.6 min
Step 2150000/1000000000 | t=2.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1223.8 steps/s | 0.82 ms/step | ETA: 13590.0 min
Step 2200000/1000000000 | t=2.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1223.7 steps/s | 0.82 ms/step | ETA: 13589.9 min
Step 2250000/1000000000 | t=2.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1223.5 steps/s | 0.82 ms/step | ETA: 13591.3 min
Step 2300000/1000000000 | t=2.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1224.8 steps/s | 0.82 ms/step | ETA: 13576.8 min
Step 2350000/1000000000 | t=2.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1225.1 steps/s | 0.82 ms/step | ETA: 13572.5 min
Step 2400000/1000000000 | t=2.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1225.0 steps/s | 0.82 ms/step | ETA: 13572.5 min
Step 2450000/1000000000 | t=2.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1225.8 steps/s | 0.82 ms/step | ETA: 13562.9 min
Step 2500000/1000000000 | t=2.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1226.3 steps/s | 0.82 ms/step | ETA: 13556.8 min
Step 2550000/1000000000 | t=2.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1225.2 steps/s | 0.82 ms/step | ETA: 13568.8 min
Step 2600000/1000000000 | t=2.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1224.0 steps/s | 0.82 ms/step | ETA: 13581.6 min
Step 2650000/1000000000 | t=2.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1222.6 steps/s | 0.82 ms/step | ETA: 13596.4 min
Step 2700000/1000000000 | t=2.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1221.0 steps/s | 0.82 ms/step | ETA: 13613.0 min
Step 2750000/1000000000 | t=2.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1219.6 steps/s | 0.82 ms/step | ETA: 13628.6 min
Step 2800000/1000000000 | t=2.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1218.6 steps/s | 0.82 ms/step | ETA: 13638.9 min
Step 2850000/1000000000 | t=2.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1217.2 steps/s | 0.82 ms/step | ETA: 13653.1 min
Step 2900000/1000000000 | t=2.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1216.3 steps/s | 0.82 ms/step | ETA: 13663.5 min
Step 2950000/1000000000 | t=2.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1215.3 steps/s | 0.82 ms/step | ETA: 13673.6 min
Step 3000000/1000000000 | t=3.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1214.5 steps/s | 0.82 ms/step | ETA: 13681.6 min
Step 3050000/1000000000 | t=3.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1214.0 steps/s | 0.82 ms/step | ETA: 13686.8 min
Step 3100000/1000000000 | t=3.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1213.4 steps/s | 0.82 ms/step | ETA: 13692.6 min
Step 3150000/1000000000 | t=3.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1213.3 steps/s | 0.82 ms/step | ETA: 13692.9 min
Step 3200000/1000000000 | t=3.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1213.3 steps/s | 0.82 ms/step | ETA: 13693.0 min
Step 3250000/1000000000 | t=3.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1213.3 steps/s | 0.82 ms/step | ETA: 13692.1 min
Step 3300000/1000000000 | t=3.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1212.9 steps/s | 0.82 ms/step | ETA: 13695.6 min
Step 3350000/1000000000 | t=3.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1212.4 steps/s | 0.82 ms/step | ETA: 13700.3 min
Step 3400000/1000000000 | t=3.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1211.8 steps/s | 0.83 ms/step | ETA: 13707.0 min
Step 3450000/1000000000 | t=3.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1210.6 steps/s | 0.83 ms/step | ETA: 13720.3 min
Step 3500000/1000000000 | t=3.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1210.1 steps/s | 0.83 ms/step | ETA: 13725.3 min
Step 3550000/1000000000 | t=3.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1209.9 steps/s | 0.83 ms/step | ETA: 13726.2 min
Step 3600000/1000000000 | t=3.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1208.8 steps/s | 0.83 ms/step | ETA: 13738.5 min
Step 3650000/1000000000 | t=3.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.4 steps/s | 0.83 ms/step | ETA: 13776.5 min
Step 3700000/1000000000 | t=3.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.4 steps/s | 0.83 ms/step | ETA: 13798.5 min
Step 3750000/1000000000 | t=3.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.6 steps/s | 0.83 ms/step | ETA: 13806.9 min
Step 3800000/1000000000 | t=3.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.2 steps/s | 0.83 ms/step | ETA: 13810.2 min
Step 3850000/1000000000 | t=3.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.4 steps/s | 0.83 ms/step | ETA: 13807.9 min
Step 3900000/1000000000 | t=3.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.7 steps/s | 0.83 ms/step | ETA: 13803.7 min
Step 3950000/1000000000 | t=3.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.8 steps/s | 0.83 ms/step | ETA: 13802.0 min
Step 4000000/1000000000 | t=4.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.7 steps/s | 0.83 ms/step | ETA: 13802.0 min
Step 4050000/1000000000 | t=4.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.5 steps/s | 0.83 ms/step | ETA: 13803.6 min
Step 4100000/1000000000 | t=4.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.5 steps/s | 0.83 ms/step | ETA: 13803.1 min
Step 4150000/1000000000 | t=4.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.3 steps/s | 0.83 ms/step | ETA: 13804.4 min
Step 4200000/1000000000 | t=4.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.4 steps/s | 0.83 ms/step | ETA: 13802.8 min
Step 4250000/1000000000 | t=4.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.5 steps/s | 0.83 ms/step | ETA: 13800.8 min
Step 4300000/1000000000 | t=4.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.4 steps/s | 0.83 ms/step | ETA: 13801.5 min
Step 4350000/1000000000 | t=4.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.8 steps/s | 0.83 ms/step | ETA: 13796.4 min
Step 4400000/1000000000 | t=4.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.0 steps/s | 0.83 ms/step | ETA: 13793.2 min
Step 4450000/1000000000 | t=4.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.0 steps/s | 0.83 ms/step | ETA: 13792.6 min
Step 4500000/1000000000 | t=4.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.0 steps/s | 0.83 ms/step | ETA: 13791.4 min
Step 4550000/1000000000 | t=4.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.9 steps/s | 0.83 ms/step | ETA: 13792.6 min
Step 4600000/1000000000 | t=4.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1202.9 steps/s | 0.83 ms/step | ETA: 13791.2 min
Step 4650000/1000000000 | t=4.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.0 steps/s | 0.83 ms/step | ETA: 13790.2 min
Step 4700000/1000000000 | t=4.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.2 steps/s | 0.83 ms/step | ETA: 13786.5 min
Step 4750000/1000000000 | t=4.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.3 steps/s | 0.83 ms/step | ETA: 13785.2 min
Step 4800000/1000000000 | t=4.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.4 steps/s | 0.83 ms/step | ETA: 13783.1 min
Step 4850000/1000000000 | t=4.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.4 steps/s | 0.83 ms/step | ETA: 13782.7 min
Step 4900000/1000000000 | t=4.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.2 steps/s | 0.83 ms/step | ETA: 13783.7 min
Step 4950000/1000000000 | t=4.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.4 steps/s | 0.83 ms/step | ETA: 13781.6 min
Step 5000000/1000000000 | t=5.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.5 steps/s | 0.83 ms/step | ETA: 13779.3 min
Step 5050000/1000000000 | t=5.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.7 steps/s | 0.83 ms/step | ETA: 13776.6 min
Step 5100000/1000000000 | t=5.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.7 steps/s | 0.83 ms/step | ETA: 13775.9 min
Step 5150000/1000000000 | t=5.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1203.7 steps/s | 0.83 ms/step | ETA: 13774.5 min
Step 5200000/1000000000 | t=5.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1204.1 steps/s | 0.83 ms/step | ETA: 13769.8 min
Step 5250000/1000000000 | t=5.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1204.1 steps/s | 0.83 ms/step | ETA: 13769.0 min
Step 5300000/1000000000 | t=5.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1204.2 steps/s | 0.83 ms/step | ETA: 13767.1 min
Step 5350000/1000000000 | t=5.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1204.5 steps/s | 0.83 ms/step | ETA: 13762.7 min
Step 5400000/1000000000 | t=5.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1204.8 steps/s | 0.83 ms/step | ETA: 13758.7 min
Step 5450000/1000000000 | t=5.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.1 steps/s | 0.83 ms/step | ETA: 13754.9 min
Step 5500000/1000000000 | t=5.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.3 steps/s | 0.83 ms/step | ETA: 13751.2 min
Step 5550000/1000000000 | t=5.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.5 steps/s | 0.83 ms/step | ETA: 13749.2 min
Step 5600000/1000000000 | t=5.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.3 steps/s | 0.83 ms/step | ETA: 13750.1 min
Step 5650000/1000000000 | t=5.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.4 steps/s | 0.83 ms/step | ETA: 13748.3 min
Step 5700000/1000000000 | t=5.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.8 steps/s | 0.83 ms/step | ETA: 13743.4 min
Step 5750000/1000000000 | t=5.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.0 steps/s | 0.83 ms/step | ETA: 13740.4 min
Step 5800000/1000000000 | t=5.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.0 steps/s | 0.83 ms/step | ETA: 13739.5 min
Step 5850000/1000000000 | t=5.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.7 steps/s | 0.83 ms/step | ETA: 13742.2 min
Step 5900000/1000000000 | t=5.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1205.7 steps/s | 0.83 ms/step | ETA: 13741.9 min
Step 5950000/1000000000 | t=5.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.3 steps/s | 0.83 ms/step | ETA: 13734.2 min
Step 6000000/1000000000 | t=6.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.3 steps/s | 0.83 ms/step | ETA: 13733.9 min
Step 6050000/1000000000 | t=6.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.1 steps/s | 0.83 ms/step | ETA: 13735.6 min
Step 6100000/1000000000 | t=6.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.1 steps/s | 0.83 ms/step | ETA: 13733.9 min
Step 6150000/1000000000 | t=6.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.0 steps/s | 0.83 ms/step | ETA: 13734.6 min
Step 6200000/1000000000 | t=6.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 1206.1 steps/s | 0.83 ms/step | ETA: 13732.4 min
Step 6250000/1000000000 | t=6.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.4 steps/s | 0.83 ms/step | ETA: 13728.6 min
Step 6300000/1000000000 | t=6.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13727.1 min
Step 6350000/1000000000 | t=6.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.1 steps/s | 0.83 ms/step | ETA: 13730.7 min
Step 6400000/1000000000 | t=6.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.2 steps/s | 0.83 ms/step | ETA: 13729.3 min
Step 6450000/1000000000 | t=6.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.3 steps/s | 0.83 ms/step | ETA: 13727.2 min
Step 6500000/1000000000 | t=6.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.2 steps/s | 0.83 ms/step | ETA: 13727.3 min
Step 6550000/1000000000 | t=6.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.1 steps/s | 0.83 ms/step | ETA: 13728.4 min
Step 6600000/1000000000 | t=6.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.2 steps/s | 0.83 ms/step | ETA: 13726.0 min
Step 6650000/1000000000 | t=6.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.4 steps/s | 0.83 ms/step | ETA: 13723.2 min
Step 6700000/1000000000 | t=6.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.6 steps/s | 0.83 ms/step | ETA: 13720.4 min
Step 6750000/1000000000 | t=6.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13720.7 min
Step 6800000/1000000000 | t=6.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.6 steps/s | 0.83 ms/step | ETA: 13719.1 min
Step 6850000/1000000000 | t=6.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13719.3 min
Step 6900000/1000000000 | t=6.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13719.3 min
Step 6950000/1000000000 | t=6.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.5 steps/s | 0.83 ms/step | ETA: 13718.5 min
Step 7000000/1000000000 | t=7.00e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.3 steps/s | 0.83 ms/step | ETA: 13719.7 min
Step 7050000/1000000000 | t=7.05e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 1206.3 steps/s | 0.83 ms/step | ETA: 13719.0 min
