Step 20125/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 95.16 ms/step | ETA: 15859418.5 min
Step 20130/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 95.27 ms/step | ETA: 15877982.4 min
Step 20135/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 95.38 ms/step | ETA: 15896874.4 min
Step 20140/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.5 steps/s | 95.61 ms/step | ETA: 15934310.9 min
Step 20145/10000000000 | t=2.01e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.4 steps/s | 95.73 ms/step | ETA: 15955595.9 min
Step 20150/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.4 steps/s | 95.86 ms/step | ETA: 15977327.6 min
Step 20155/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000048 | H=2.41e-05 | 10.4 steps/s | 95.98 ms/step | ETA: 15996122.9 min
Step 20160/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.08 ms/step | ETA: 16013833.1 min
Step 20165/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.19 ms/step | ETA: 16031285.0 min
Step 20170/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.30 ms/step | ETA: 16049662.3 min
Step 20175/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.40 ms/step | ETA: 16066783.7 min
Step 20180/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.50 ms/step | ETA: 16083070.9 min
Step 20185/10000000000 | t=2.02e+00 | T=7369.6 | a=1.000049 | H=2.41e-05 | 10.4 steps/s | 96.59 ms/step | ETA: 16098657.1 min
