Step 218550/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.37 ms/step | ETA: 106.4 min
Step 218560/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.38 ms/step | ETA: 106.4 min
Step 218570/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.40 ms/step | ETA: 106.4 min
Step 218580/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.41 ms/step | ETA: 106.4 min
Step 218590/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.8 steps/s | 78.42 ms/step | ETA: 106.4 min
Step 218600/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.43 ms/step | ETA: 106.4 min
Step 218610/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.44 ms/step | ETA: 106.4 min
Step 218620/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.45 ms/step | ETA: 106.4 min
Step 218630/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.47 ms/step | ETA: 106.4 min
Step 218640/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.48 ms/step | ETA: 106.4 min
Step 218650/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.49 ms/step | ETA: 106.4 min
Step 218660/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.51 ms/step | ETA: 106.4 min
Step 218670/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.54 ms/step | ETA: 106.5 min
Step 218680/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.57 ms/step | ETA: 106.5 min
Step 218690/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.58 ms/step | ETA: 106.5 min
Step 218700/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.60 ms/step | ETA: 106.5 min
Step 218710/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.63 ms/step | ETA: 106.5 min
Step 218720/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.65 ms/step | ETA: 106.5 min
Step 218730/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.67 ms/step | ETA: 106.6 min
Step 218740/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.69 ms/step | ETA: 106.6 min
Step 218750/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.71 ms/step | ETA: 106.6 min
Step 218760/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.73 ms/step | ETA: 106.6 min
Step 218770/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.76 ms/step | ETA: 106.6 min
Step 218780/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.77 ms/step | ETA: 106.6 min
Step 218790/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.78 ms/step | ETA: 106.6 min
Step 218800/300000 | t=2.19e+01 | T=7401.1 | a=1.000526 | H=2.41e-05 | 12.7 steps/s | 78.79 ms/step | ETA: 106.6 min
Step 218810/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.80 ms/step | ETA: 106.6 min
Step 218820/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.81 ms/step | ETA: 106.6 min
Step 218830/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.81 ms/step | ETA: 106.6 min
Step 218840/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.82 ms/step | ETA: 106.6 min
Step 218850/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.83 ms/step | ETA: 106.6 min
Step 218860/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.84 ms/step | ETA: 106.6 min
Step 218870/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.86 ms/step | ETA: 106.6 min
Step 218880/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.87 ms/step | ETA: 106.6 min
Step 218890/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.88 ms/step | ETA: 106.6 min
Step 218900/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.88 ms/step | ETA: 106.6 min
Step 218910/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.89 ms/step | ETA: 106.6 min
Step 218920/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.90 ms/step | ETA: 106.6 min
Step 218930/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.90 ms/step | ETA: 106.6 min
Step 218940/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.91 ms/step | ETA: 106.6 min
Step 218950/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.91 ms/step | ETA: 106.6 min
Step 218960/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.92 ms/step | ETA: 106.6 min
Step 218970/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.93 ms/step | ETA: 106.6 min
Step 218980/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.94 ms/step | ETA: 106.6 min
Step 218990/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.94 ms/step | ETA: 106.6 min
Step 219000/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.95 ms/step | ETA: 106.6 min
Step 219010/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.96 ms/step | ETA: 106.6 min
Step 219020/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.96 ms/step | ETA: 106.6 min
Step 219030/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.97 ms/step | ETA: 106.6 min
Step 219040/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.97 ms/step | ETA: 106.6 min
Step 219050/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.98 ms/step | ETA: 106.6 min
Step 219060/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 78.99 ms/step | ETA: 106.6 min
Step 219070/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.00 ms/step | ETA: 106.6 min
Step 219080/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.01 ms/step | ETA: 106.6 min
Step 219090/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.01 ms/step | ETA: 106.5 min
Step 219100/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.02 ms/step | ETA: 106.5 min
Step 219110/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.02 ms/step | ETA: 106.5 min
Step 219120/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.03 ms/step | ETA: 106.5 min
Step 219130/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.03 ms/step | ETA: 106.5 min
Step 219140/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.04 ms/step | ETA: 106.5 min
Step 219150/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.7 steps/s | 79.05 ms/step | ETA: 106.5 min
Step 219160/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.05 ms/step | ETA: 106.5 min
Step 219170/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.07 ms/step | ETA: 106.5 min
Step 219180/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.08 ms/step | ETA: 106.5 min
Step 219190/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.08 ms/step | ETA: 106.5 min
Step 219200/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.09 ms/step | ETA: 106.5 min
Step 219210/300000 | t=2.19e+01 | T=7401.1 | a=1.000527 | H=2.41e-05 | 12.6 steps/s | 79.09 ms/step | ETA: 106.5 min
Step 219220/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.10 ms/step | ETA: 106.5 min
Step 219230/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.10 ms/step | ETA: 106.5 min
Step 219240/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.11 ms/step | ETA: 106.5 min
Step 219250/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.12 ms/step | ETA: 106.5 min
Step 219260/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.12 ms/step | ETA: 106.5 min
Step 219270/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.14 ms/step | ETA: 106.5 min
Step 219280/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.14 ms/step | ETA: 106.5 min
Step 219290/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.15 ms/step | ETA: 106.5 min
Step 219300/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.15 ms/step | ETA: 106.5 min
Step 219310/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.16 ms/step | ETA: 106.5 min
Step 219320/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.17 ms/step | ETA: 106.5 min
Step 219330/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.17 ms/step | ETA: 106.4 min
Step 219340/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.18 ms/step | ETA: 106.4 min
Step 219350/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.18 ms/step | ETA: 106.4 min
Step 219360/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.19 ms/step | ETA: 106.4 min
Step 219370/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.21 ms/step | ETA: 106.4 min
Step 219380/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.21 ms/step | ETA: 106.4 min
Step 219390/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.22 ms/step | ETA: 106.4 min
Step 219400/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.22 ms/step | ETA: 106.4 min
Step 219410/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.23 ms/step | ETA: 106.4 min
Step 219420/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.24 ms/step | ETA: 106.4 min
Step 219430/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.24 ms/step | ETA: 106.4 min
Step 219440/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.25 ms/step | ETA: 106.4 min
Step 219450/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.25 ms/step | ETA: 106.4 min
Step 219460/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.26 ms/step | ETA: 106.4 min
Step 219470/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.28 ms/step | ETA: 106.4 min
Step 219480/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.28 ms/step | ETA: 106.4 min
Step 219490/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.29 ms/step | ETA: 106.4 min
Step 219500/300000 | t=2.19e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.29 ms/step | ETA: 106.4 min
Step 219510/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.30 ms/step | ETA: 106.4 min
Step 219520/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.30 ms/step | ETA: 106.4 min
Step 219530/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.31 ms/step | ETA: 106.4 min
Step 219540/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.31 ms/step | ETA: 106.4 min
Step 219550/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.32 ms/step | ETA: 106.4 min
Step 219560/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.33 ms/step | ETA: 106.4 min
Step 219570/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.34 ms/step | ETA: 106.4 min
Step 219580/300000 | t=2.20e+01 | T=7401.1 | a=1.000528 | H=2.41e-05 | 12.6 steps/s | 79.35 ms/step | ETA: 106.4 min
