Step 400000/1000000000 | t=1.60e+01 | T=7397.2 | a=1.000385 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29419.0 min
Step 410000/1000000000 | t=1.64e+01 | T=7397.1 | a=1.000395 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29416.9 min
Step 420000/1000000000 | t=1.68e+01 | T=7397.0 | a=1.000404 | H=2.41e-05 | 566.2 steps/s | 1.77 ms/step | ETA: 29424.3 min
Step 430000/1000000000 | t=1.72e+01 | T=7396.9 | a=1.000414 | H=2.41e-05 | 566.2 steps/s | 1.77 ms/step | ETA: 29422.7 min
Step 440000/1000000000 | t=1.76e+01 | T=7396.9 | a=1.000423 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29420.0 min
Step 450000/1000000000 | t=1.80e+01 | T=7396.8 | a=1.000433 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29416.8 min
Step 460000/1000000000 | t=1.84e+01 | T=7396.7 | a=1.000443 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29416.0 min
Step 470000/1000000000 | t=1.88e+01 | T=7396.7 | a=1.000452 | H=2.41e-05 | 566.3 steps/s | 1.77 ms/step | ETA: 29414.8 min
Step 480000/1000000000 | t=1.92e+01 | T=7396.6 | a=1.000462 | H=2.41e-05 | 566.4 steps/s | 1.77 ms/step | ETA: 29412.9 min
Step 490000/1000000000 | t=1.96e+01 | T=7396.5 | a=1.000472 | H=2.41e-05 | 566.5 steps/s | 1.77 ms/step | ETA: 29405.8 min
Step 500000/1000000000 | t=2.00e+01 | T=7396.4 | a=1.000481 | H=2.41e-05 | 566.6 steps/s | 1.76 ms/step | ETA: 29400.2 min
Step 510000/1000000000 | t=2.04e+01 | T=7396.4 | a=1.000491 | H=2.41e-05 | 566.6 steps/s | 1.76 ms/step | ETA: 29400.9 min
Step 520000/1000000000 | t=2.08e+01 | T=7396.3 | a=1.000500 | H=2.41e-05 | 566.5 steps/s | 1.77 ms/step | ETA: 29403.6 min
Step 530000/1000000000 | t=2.12e+01 | T=7396.2 | a=1.000510 | H=2.41e-05 | 566.7 steps/s | 1.76 ms/step | ETA: 29395.1 min
Step 540000/1000000000 | t=2.16e+01 | T=7396.2 | a=1.000520 | H=2.41e-05 | 566.7 steps/s | 1.76 ms/step | ETA: 29392.0 min
Step 550000/1000000000 | t=2.20e+01 | T=7396.1 | a=1.000529 | H=2.41e-05 | 566.8 steps/s | 1.76 ms/step | ETA: 29386.5 min
Step 560000/1000000000 | t=2.24e+01 | T=7396.0 | a=1.000539 | H=2.41e-05 | 566.9 steps/s | 1.76 ms/step | ETA: 29380.7 min
Step 570000/1000000000 | t=2.28e+01 | T=7395.9 | a=1.000549 | H=2.41e-05 | 567.0 steps/s | 1.76 ms/step | ETA: 29375.8 min
Step 580000/1000000000 | t=2.32e+01 | T=7395.9 | a=1.000558 | H=2.41e-05 | 567.2 steps/s | 1.76 ms/step | ETA: 29368.9 min
