======================================================================
LATTICE SIMULATION LOG
Started: 2026-01-19 10:47:52
Log file: logs/simulation_20260119_104752.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
Field precision: float32
Field states will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/field_states
Figures will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 100000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
============================================================

Warming up JIT compilation...
JIT warmup complete. Starting main loop...

Step 6450000/100000000 | t=6.45e-02 | T=7344.9 | 1369.7 steps/s | 0.73 ms/step | ETA: 1138.4 min
Step 6500000/100000000 | t=6.50e-02 | T=7344.9 | 1370.0 steps/s | 0.73 ms/step | ETA: 1137.5 min
Step 6550000/100000000 | t=6.55e-02 | T=7344.9 | 1370.3 steps/s | 0.73 ms/step | ETA: 1136.6 min
Step 6600000/100000000 | t=6.60e-02 | T=7344.9 | 1370.6 steps/s | 0.73 ms/step | ETA: 1135.8 min
Step 6650000/100000000 | t=6.65e-02 | T=7344.9 | 1371.5 steps/s | 0.73 ms/step | ETA: 1134.4 min
Step 6700000/100000000 | t=6.70e-02 | T=7344.9 | 1372.3 steps/s | 0.73 ms/step | ETA: 1133.1 min
Step 6750000/100000000 | t=6.75e-02 | T=7344.9 | 1373.2 steps/s | 0.73 ms/step | ETA: 1131.8 min
Step 6800000/100000000 | t=6.80e-02 | T=7344.9 | 1374.1 steps/s | 0.73 ms/step | ETA: 1130.4 min
Step 6850000/100000000 | t=6.85e-02 | T=7344.9 | 1374.6 steps/s | 0.73 ms/step | ETA: 1129.5 min
Step 6900000/100000000 | t=6.90e-02 | T=7344.9 | 1375.0 steps/s | 0.73 ms/step | ETA: 1128.5 min
Step 6950000/100000000 | t=6.95e-02 | T=7344.9 | 1375.4 steps/s | 0.73 ms/step | ETA: 1127.5 min
Step 7000000/100000000 | t=7.00e-02 | T=7344.9 | 1376.0 steps/s | 0.73 ms/step | ETA: 1126.5 min
Step 7050000/100000000 | t=7.05e-02 | T=7344.9 | 1376.5 steps/s | 0.73 ms/step | ETA: 1125.5 min
Step 7100000/100000000 | t=7.10e-02 | T=7344.9 | 1376.6 steps/s | 0.73 ms/step | ETA: 1124.7 min
Step 7150000/100000000 | t=7.15e-02 | T=7344.9 | 1376.9 steps/s | 0.73 ms/step | ETA: 1123.9 min
Step 7200000/100000000 | t=7.20e-02 | T=7344.9 | 1377.1 steps/s | 0.73 ms/step | ETA: 1123.1 min
Step 7250000/100000000 | t=7.25e-02 | T=7344.9 | 1377.1 steps/s | 0.73 ms/step | ETA: 1122.5 min
Step 7300000/100000000 | t=7.30e-02 | T=7344.9 | 1377.2 steps/s | 0.73 ms/step | ETA: 1121.9 min
Step 7350000/100000000 | t=7.35e-02 | T=7344.9 | 1377.3 steps/s | 0.73 ms/step | ETA: 1121.2 min
Step 7400000/100000000 | t=7.40e-02 | T=7344.9 | 1377.4 steps/s | 0.73 ms/step | ETA: 1120.4 min
Step 7450000/100000000 | t=7.45e-02 | T=7344.9 | 1377.5 steps/s | 0.73 ms/step | ETA: 1119.8 min
Step 7500000/100000000 | t=7.50e-02 | T=7344.9 | 1377.7 steps/s | 0.73 ms/step | ETA: 1119.0 min
Step 7550000/100000000 | t=7.55e-02 | T=7344.9 | 1377.8 steps/s | 0.73 ms/step | ETA: 1118.3 min
Step 7600000/100000000 | t=7.60e-02 | T=7344.9 | 1377.9 steps/s | 0.73 ms/step | ETA: 1117.6 min
Step 7650000/100000000 | t=7.65e-02 | T=7344.9 | 1378.0 steps/s | 0.73 ms/step | ETA: 1117.0 min
Step 7700000/100000000 | t=7.70e-02 | T=7344.9 | 1378.3 steps/s | 0.73 ms/step | ETA: 1116.1 min
Step 7750000/100000000 | t=7.75e-02 | T=7344.9 | 1378.7 steps/s | 0.73 ms/step | ETA: 1115.2 min
Step 7800000/100000000 | t=7.80e-02 | T=7344.9 | 1379.4 steps/s | 0.72 ms/step | ETA: 1114.0 min
Step 7850000/100000000 | t=7.85e-02 | T=7344.9 | 1380.3 steps/s | 0.72 ms/step | ETA: 1112.7 min
Step 7900000/100000000 | t=7.90e-02 | T=7344.9 | 1381.2 steps/s | 0.72 ms/step | ETA: 1111.4 min
Step 7950000/100000000 | t=7.95e-02 | T=7344.9 | 1382.0 steps/s | 0.72 ms/step | ETA: 1110.1 min
Step 8000000/100000000 | t=8.00e-02 | T=7344.9 | 1382.8 steps/s | 0.72 ms/step | ETA: 1108.9 min
Step 8050000/100000000 | t=8.05e-02 | T=7344.9 | 1383.7 steps/s | 0.72 ms/step | ETA: 1107.5 min
Step 8100000/100000000 | t=8.10e-02 | T=7344.9 | 1384.5 steps/s | 0.72 ms/step | ETA: 1106.3 min
Step 8150000/100000000 | t=8.15e-02 | T=7344.9 | 1385.4 steps/s | 0.72 ms/step | ETA: 1105.0 min
Step 8200000/100000000 | t=8.20e-02 | T=7344.9 | 1386.4 steps/s | 0.72 ms/step | ETA: 1103.6 min
Step 8250000/100000000 | t=8.25e-02 | T=7344.9 | 1386.9 steps/s | 0.72 ms/step | ETA: 1102.6 min
Step 8300000/100000000 | t=8.30e-02 | T=7344.9 | 1387.6 steps/s | 0.72 ms/step | ETA: 1101.4 min
Step 8350000/100000000 | t=8.35e-02 | T=7344.9 | 1388.3 steps/s | 0.72 ms/step | ETA: 1100.3 min
Step 8400000/100000000 | t=8.40e-02 | T=7344.9 | 1389.0 steps/s | 0.72 ms/step | ETA: 1099.1 min
Step 8450000/100000000 | t=8.45e-02 | T=7344.9 | 1389.4 steps/s | 0.72 ms/step | ETA: 1098.2 min
Step 8500000/100000000 | t=8.50e-02 | T=7344.9 | 1390.1 steps/s | 0.72 ms/step | ETA: 1097.0 min
Step 8550000/100000000 | t=8.55e-02 | T=7344.9 | 1390.9 steps/s | 0.72 ms/step | ETA: 1095.8 min
Step 8600000/100000000 | t=8.60e-02 | T=7344.9 | 1391.6 steps/s | 0.72 ms/step | ETA: 1094.7 min
Step 8650000/100000000 | t=8.65e-02 | T=7344.9 | 1392.0 steps/s | 0.72 ms/step | ETA: 1093.7 min
Step 8700000/100000000 | t=8.70e-02 | T=7344.9 | 1392.7 steps/s | 0.72 ms/step | ETA: 1092.6 min
Step 8750000/100000000 | t=8.75e-02 | T=7344.9 | 1393.4 steps/s | 0.72 ms/step | ETA: 1091.5 min
Step 8800000/100000000 | t=8.80e-02 | T=7344.9 | 1393.8 steps/s | 0.72 ms/step | ETA: 1090.5 min
Step 8850000/100000000 | t=8.85e-02 | T=7344.9 | 1394.5 steps/s | 0.72 ms/step | ETA: 1089.4 min
Step 8900000/100000000 | t=8.90e-02 | T=7344.9 | 1395.0 steps/s | 0.72 ms/step | ETA: 1088.4 min
Step 8950000/100000000 | t=8.95e-02 | T=7344.9 | 1395.5 steps/s | 0.72 ms/step | ETA: 1087.4 min
Step 9000000/100000000 | t=9.00e-02 | T=7344.9 | 1396.1 steps/s | 0.72 ms/step | ETA: 1086.4 min
Step 9050000/100000000 | t=9.05e-02 | T=7344.9 | 1396.7 steps/s | 0.72 ms/step | ETA: 1085.3 min
Step 9100000/100000000 | t=9.10e-02 | T=7344.9 | 1397.3 steps/s | 0.72 ms/step | ETA: 1084.3 min
Step 9150000/100000000 | t=9.15e-02 | T=7344.9 | 1397.7 steps/s | 0.72 ms/step | ETA: 1083.3 min
Step 9200000/100000000 | t=9.20e-02 | T=7344.9 | 1398.3 steps/s | 0.72 ms/step | ETA: 1082.3 min
Step 9250000/100000000 | t=9.25e-02 | T=7344.9 | 1398.9 steps/s | 0.71 ms/step | ETA: 1081.2 min
Step 9300000/100000000 | t=9.30e-02 | T=7344.9 | 1399.5 steps/s | 0.71 ms/step | ETA: 1080.1 min
Step 9350000/100000000 | t=9.35e-02 | T=7344.9 | 1399.9 steps/s | 0.71 ms/step | ETA: 1079.2 min
Step 9400000/100000000 | t=9.40e-02 | T=7344.9 | 1400.3 steps/s | 0.71 ms/step | ETA: 1078.3 min
Step 9450000/100000000 | t=9.45e-02 | T=7344.9 | 1400.9 steps/s | 0.71 ms/step | ETA: 1077.3 min
Step 9500000/100000000 | t=9.50e-02 | T=7344.9 | 1401.5 steps/s | 0.71 ms/step | ETA: 1076.2 min
Step 9550000/100000000 | t=9.55e-02 | T=7344.9 | 1402.1 steps/s | 0.71 ms/step | ETA: 1075.2 min
Step 9600000/100000000 | t=9.60e-02 | T=7344.9 | 1402.9 steps/s | 0.71 ms/step | ETA: 1074.0 min
Step 9650000/100000000 | t=9.65e-02 | T=7344.9 | 1403.5 steps/s | 0.71 ms/step | ETA: 1072.9 min
Step 9700000/100000000 | t=9.70e-02 | T=7344.9 | 1404.1 steps/s | 0.71 ms/step | ETA: 1071.9 min
Step 9750000/100000000 | t=9.75e-02 | T=7344.9 | 1404.8 steps/s | 0.71 ms/step | ETA: 1070.8 min
Step 9800000/100000000 | t=9.80e-02 | T=7344.9 | 1405.6 steps/s | 0.71 ms/step | ETA: 1069.6 min
Step 9850000/100000000 | t=9.85e-02 | T=7344.9 | 1406.1 steps/s | 0.71 ms/step | ETA: 1068.5 min
Step 9900000/100000000 | t=9.90e-02 | T=7344.9 | 1406.8 steps/s | 0.71 ms/step | ETA: 1067.4 min
Step 9950000/100000000 | t=9.95e-02 | T=7344.9 | 1407.5 steps/s | 0.71 ms/step | ETA: 1066.3 min
Step 10000000/100000000 | t=1.00e-01 | T=7344.9 | 1407.7 steps/s | 0.71 ms/step | ETA: 1065.6 min
Step 10050000/100000000 | t=1.01e-01 | T=7344.9 | 1408.3 steps/s | 0.71 ms/step | ETA: 1064.5 min
Step 10100000/100000000 | t=1.01e-01 | T=7344.9 | 1408.7 steps/s | 0.71 ms/step | ETA: 1063.6 min
Step 10150000/100000000 | t=1.02e-01 | T=7344.9 | 1409.2 steps/s | 0.71 ms/step | ETA: 1062.7 min
Step 10200000/100000000 | t=1.02e-01 | T=7344.9 | 1409.6 steps/s | 0.71 ms/step | ETA: 1061.8 min
