Step 2300/10000000000 | t=2.30e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 220.42 ms/step | ETA: 36736651.4 min
Step 2350/10000000000 | t=2.35e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 220.47 ms/step | ETA: 36745185.9 min
Step 2400/10000000000 | t=2.40e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 220.62 ms/step | ETA: 36769857.3 min
Step 2450/10000000000 | t=2.45e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 220.73 ms/step | ETA: 36787791.3 min
Step 2500/10000000000 | t=2.50e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 221.47 ms/step | ETA: 36911799.0 min
Step 2550/10000000000 | t=2.55e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 221.72 ms/step | ETA: 36953003.0 min
Step 2600/10000000000 | t=2.60e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 221.77 ms/step | ETA: 36961801.5 min
Step 2650/10000000000 | t=2.65e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 222.16 ms/step | ETA: 37026852.9 min
Step 2700/10000000000 | t=2.70e-01 | T=7450.0 | a=1.000006 | H=2.41e-05 | 4.5 steps/s | 222.30 ms/step | ETA: 37049859.6 min
Step 2750/10000000000 | t=2.75e-01 | T=7450.0 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 222.51 ms/step | ETA: 37085590.3 min
Step 2800/10000000000 | t=2.80e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 222.82 ms/step | ETA: 37136461.2 min
Step 2850/10000000000 | t=2.85e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 223.00 ms/step | ETA: 37166526.5 min
Step 2900/10000000000 | t=2.90e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 223.33 ms/step | ETA: 37222098.9 min
Step 2950/10000000000 | t=2.95e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 223.48 ms/step | ETA: 37246652.4 min
Step 3000/10000000000 | t=3.00e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 224.32 ms/step | ETA: 37386715.4 min
Step 3050/10000000000 | t=3.05e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.5 steps/s | 224.57 ms/step | ETA: 37428552.5 min
Step 3100/10000000000 | t=3.10e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 4.4 steps/s | 224.90 ms/step | ETA: 37483497.9 min
Step 3150/10000000000 | t=3.15e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 225.45 ms/step | ETA: 37574851.8 min
Step 3200/10000000000 | t=3.20e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 225.66 ms/step | ETA: 37610429.0 min
Step 3250/10000000000 | t=3.25e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 226.98 ms/step | ETA: 37830588.0 min
Step 3300/10000000000 | t=3.30e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.11 ms/step | ETA: 37851216.4 min
Step 3350/10000000000 | t=3.35e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.61 ms/step | ETA: 37935198.3 min
Step 3400/10000000000 | t=3.40e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 227.76 ms/step | ETA: 37960165.0 min
Step 3450/10000000000 | t=3.45e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.03 ms/step | ETA: 38004581.0 min
Step 3500/10000000000 | t=3.50e-01 | T=7449.9 | a=1.000008 | H=2.41e-05 | 4.4 steps/s | 228.55 ms/step | ETA: 38091659.8 min
Step 3550/10000000000 | t=3.55e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 228.76 ms/step | ETA: 38127241.9 min
Step 3600/10000000000 | t=3.60e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 229.10 ms/step | ETA: 38183708.9 min
Step 3650/10000000000 | t=3.65e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 229.28 ms/step | ETA: 38212500.7 min
Step 3700/10000000000 | t=3.70e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 229.47 ms/step | ETA: 38245444.1 min
Step 3750/10000000000 | t=3.75e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.4 steps/s | 229.77 ms/step | ETA: 38295011.0 min
Step 3800/10000000000 | t=3.80e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.3 steps/s | 229.96 ms/step | ETA: 38326332.0 min
Step 3850/10000000000 | t=3.85e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.3 steps/s | 230.17 ms/step | ETA: 38362315.0 min
Step 3900/10000000000 | t=3.90e-01 | T=7449.9 | a=1.000009 | H=2.41e-05 | 4.3 steps/s | 230.46 ms/step | ETA: 38409590.2 min
Step 3950/10000000000 | t=3.95e-01 | T=7449.9 | a=1.000010 | H=2.41e-05 | 4.3 steps/s | 230.76 ms/step | ETA: 38460163.0 min
