Step 6250000/1000000000 | t=6.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36073.2 min
Step 6300000/1000000000 | t=6.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36073.0 min
Step 6350000/1000000000 | t=6.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 459.1 steps/s | 2.18 ms/step | ETA: 36071.7 min
Step 6400000/1000000000 | t=6.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 459.0 steps/s | 2.18 ms/step | ETA: 36075.3 min
Step 6450000/1000000000 | t=6.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36083.9 min
Step 6500000/1000000000 | t=6.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36088.4 min
Step 6550000/1000000000 | t=6.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36091.7 min
Step 6600000/1000000000 | t=6.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36087.8 min
Step 6650000/1000000000 | t=6.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36087.6 min
Step 6700000/1000000000 | t=6.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36082.2 min
Step 6750000/1000000000 | t=6.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36080.4 min
Step 6800000/1000000000 | t=6.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36075.2 min
Step 6850000/1000000000 | t=6.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36067.0 min
Step 6900000/1000000000 | t=6.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.9 steps/s | 2.18 ms/step | ETA: 36069.0 min
Step 6950000/1000000000 | t=6.95e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36070.3 min
Step 7000000/1000000000 | t=7.00e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36072.6 min
Step 7050000/1000000000 | t=7.05e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.7 steps/s | 2.18 ms/step | ETA: 36075.3 min
Step 7100000/1000000000 | t=7.10e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.7 steps/s | 2.18 ms/step | ETA: 36075.3 min
Step 7150000/1000000000 | t=7.15e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.7 steps/s | 2.18 ms/step | ETA: 36073.3 min
Step 7200000/1000000000 | t=7.20e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36068.9 min
Step 7250000/1000000000 | t=7.25e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36067.0 min
Step 7300000/1000000000 | t=7.30e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36062.8 min
Step 7350000/1000000000 | t=7.35e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36061.0 min
Step 7400000/1000000000 | t=7.40e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36056.4 min
Step 7450000/1000000000 | t=7.45e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36056.7 min
Step 7500000/1000000000 | t=7.50e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.8 steps/s | 2.18 ms/step | ETA: 36056.4 min
Step 7550000/1000000000 | t=7.55e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.7 steps/s | 2.18 ms/step | ETA: 36059.5 min
Step 7600000/1000000000 | t=7.60e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.6 steps/s | 2.18 ms/step | ETA: 36066.2 min
Step 7650000/1000000000 | t=7.65e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.6 steps/s | 2.18 ms/step | ETA: 36068.4 min
Step 7700000/1000000000 | t=7.70e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.5 steps/s | 2.18 ms/step | ETA: 36067.9 min
Step 7750000/1000000000 | t=7.75e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.5 steps/s | 2.18 ms/step | ETA: 36065.8 min
Step 7800000/1000000000 | t=7.80e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.5 steps/s | 2.18 ms/step | ETA: 36063.5 min
Step 7850000/1000000000 | t=7.85e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.6 steps/s | 2.18 ms/step | ETA: 36060.7 min
Step 7900000/1000000000 | t=7.90e-02 | T=7341.0 | a=1.000002 | H=2.41e-05 | 458.6 steps/s | 2.18 ms/step | ETA: 36057.5 min
