Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 7000/1000000 | t=7.00e-01 | T=14999.7 | a=1.000017 | H=2.41e-05 | 11.8 steps/s | 84.92 ms/step | ETA: 1405.4 min
Step 7100/1000000 | t=7.10e-01 | T=14999.7 | a=1.000017 | H=2.41e-05 | 11.8 steps/s | 84.79 ms/step | ETA: 1403.1 min
Step 7200/1000000 | t=7.20e-01 | T=14999.7 | a=1.000017 | H=2.41e-05 | 11.8 steps/s | 84.66 ms/step | ETA: 1400.8 min
Step 7300/1000000 | t=7.30e-01 | T=14999.7 | a=1.000018 | H=2.41e-05 | 11.8 steps/s | 84.61 ms/step | ETA: 1399.8 min
Step 7400/1000000 | t=7.40e-01 | T=14999.7 | a=1.000018 | H=2.41e-05 | 11.8 steps/s | 84.50 ms/step | ETA: 1397.9 min
Step 7500/1000000 | t=7.50e-01 | T=14999.7 | a=1.000018 | H=2.41e-05 | 11.8 steps/s | 84.39 ms/step | ETA: 1395.9 min
Step 7600/1000000 | t=7.60e-01 | T=14999.7 | a=1.000018 | H=2.41e-05 | 11.9 steps/s | 84.28 ms/step | ETA: 1394.0 min
Step 7700/1000000 | t=7.70e-01 | T=14999.7 | a=1.000019 | H=2.41e-05 | 11.9 steps/s | 84.15 ms/step | ETA: 1391.7 min
Step 7800/1000000 | t=7.80e-01 | T=14999.7 | a=1.000019 | H=2.41e-05 | 11.9 steps/s | 84.06 ms/step | ETA: 1390.1 min
Step 7900/1000000 | t=7.90e-01 | T=14999.7 | a=1.000019 | H=2.41e-05 | 11.9 steps/s | 83.93 ms/step | ETA: 1387.8 min
Step 8000/1000000 | t=8.00e-01 | T=14999.7 | a=1.000019 | H=2.41e-05 | 11.9 steps/s | 83.83 ms/step | ETA: 1386.0 min
