Step 13240/1500000 | t=3.31e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.18 ms/step | ETA: 2878.9 min
Step 13260/1500000 | t=3.31e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.32 ms/step | ETA: 2882.3 min
Step 13280/1500000 | t=3.32e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.46 ms/step | ETA: 2885.7 min
Step 13300/1500000 | t=3.33e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.60 ms/step | ETA: 2889.1 min
Step 13320/1500000 | t=3.33e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.73 ms/step | ETA: 2892.5 min
Step 13340/1500000 | t=3.33e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.6 steps/s | 116.87 ms/step | ETA: 2895.8 min
Step 13360/1500000 | t=3.34e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.5 steps/s | 117.01 ms/step | ETA: 2899.2 min
Step 13380/1500000 | t=3.35e+00 | T=7404.4 | a=1.000080 | H=2.41e-05 | 8.5 steps/s | 117.29 ms/step | ETA: 2906.1 min
Step 13400/1500000 | t=3.35e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 117.42 ms/step | ETA: 2909.3 min
Step 13420/1500000 | t=3.35e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 117.56 ms/step | ETA: 2912.6 min
Step 13440/1500000 | t=3.36e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 117.69 ms/step | ETA: 2915.8 min
Step 13460/1500000 | t=3.37e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 117.81 ms/step | ETA: 2918.9 min
Step 13480/1500000 | t=3.37e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 117.95 ms/step | ETA: 2922.1 min
Step 13500/1500000 | t=3.38e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 118.08 ms/step | ETA: 2925.3 min
Step 13520/1500000 | t=3.38e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 118.21 ms/step | ETA: 2928.5 min
Step 13540/1500000 | t=3.38e+00 | T=7404.4 | a=1.000081 | H=2.41e-05 | 8.5 steps/s | 118.34 ms/step | ETA: 2931.8 min
Step 13560/1500000 | t=3.39e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 118.47 ms/step | ETA: 2934.9 min
Step 13580/1500000 | t=3.40e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 118.73 ms/step | ETA: 2941.5 min
Step 13600/1500000 | t=3.40e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 118.87 ms/step | ETA: 2944.7 min
Step 13620/1500000 | t=3.40e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 118.99 ms/step | ETA: 2947.7 min
Step 13640/1500000 | t=3.41e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 119.11 ms/step | ETA: 2950.6 min
Step 13660/1500000 | t=3.42e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 119.23 ms/step | ETA: 2953.6 min
Step 13680/1500000 | t=3.42e+00 | T=7404.4 | a=1.000082 | H=2.41e-05 | 8.4 steps/s | 119.35 ms/step | ETA: 2956.4 min
