Step 5500/10000000000 | t=1.65e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 6.1 steps/s | 163.93 ms/step | ETA: 27322356.6 min
Step 5600/10000000000 | t=1.68e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 6.1 steps/s | 164.03 ms/step | ETA: 27338982.9 min
Step 5700/10000000000 | t=1.71e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 6.1 steps/s | 164.30 ms/step | ETA: 27382914.9 min
Step 5800/10000000000 | t=1.74e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 6.1 steps/s | 164.69 ms/step | ETA: 27449145.8 min
Step 5900/10000000000 | t=1.77e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 6.1 steps/s | 164.86 ms/step | ETA: 27476681.0 min
Step 6000/10000000000 | t=1.80e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 6.1 steps/s | 165.18 ms/step | ETA: 27529596.2 min
Step 6100/10000000000 | t=1.83e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 6.0 steps/s | 165.49 ms/step | ETA: 27581440.0 min
Step 6200/10000000000 | t=1.86e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 6.0 steps/s | 165.62 ms/step | ETA: 27603611.4 min
Step 6300/10000000000 | t=1.89e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 6.0 steps/s | 165.85 ms/step | ETA: 27642294.6 min
Step 6400/10000000000 | t=1.92e+00 | T=7399.7 | a=1.000046 | H=2.41e-05 | 6.0 steps/s | 166.07 ms/step | ETA: 27678087.9 min
Step 6500/10000000000 | t=1.95e+00 | T=7399.7 | a=1.000047 | H=2.41e-05 | 6.0 steps/s | 166.24 ms/step | ETA: 27707081.4 min
Step 6600/10000000000 | t=1.98e+00 | T=7399.6 | a=1.000048 | H=2.41e-05 | 6.0 steps/s | 166.33 ms/step | ETA: 27721325.2 min
Step 6700/10000000000 | t=2.01e+00 | T=7399.6 | a=1.000048 | H=2.41e-05 | 6.0 steps/s | 166.95 ms/step | ETA: 27825541.2 min
