Step 14730/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.6 steps/s | 94.19 ms/step | ETA: 761.8 min
Step 14740/500000 | t=1.47e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.6 steps/s | 94.32 ms/step | ETA: 762.9 min
Step 14750/500000 | t=1.48e+00 | T=7379.7 | a=1.000035 | H=2.41e-05 | 10.6 steps/s | 94.46 ms/step | ETA: 764.0 min
Step 14760/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.6 steps/s | 94.59 ms/step | ETA: 765.0 min
Step 14770/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.6 steps/s | 94.72 ms/step | ETA: 766.0 min
Step 14780/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 94.99 ms/step | ETA: 768.2 min
Step 14790/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 95.12 ms/step | ETA: 769.3 min
Step 14800/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 95.27 ms/step | ETA: 770.4 min
Step 14810/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 95.40 ms/step | ETA: 771.4 min
Step 14820/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 95.53 ms/step | ETA: 772.5 min
Step 14830/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.5 steps/s | 95.66 ms/step | ETA: 773.5 min
Step 14840/500000 | t=1.48e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 95.79 ms/step | ETA: 774.6 min
Step 14850/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 95.92 ms/step | ETA: 775.6 min
Step 14860/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 96.06 ms/step | ETA: 776.7 min
Step 14870/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 96.19 ms/step | ETA: 777.8 min
Step 14880/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 96.46 ms/step | ETA: 779.9 min
Step 14890/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.4 steps/s | 96.61 ms/step | ETA: 781.1 min
Step 14900/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 96.75 ms/step | ETA: 782.2 min
Step 14910/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 96.89 ms/step | ETA: 783.3 min
Step 14920/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 97.03 ms/step | ETA: 784.5 min
Step 14930/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 97.18 ms/step | ETA: 785.7 min
Step 14940/500000 | t=1.49e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 97.34 ms/step | ETA: 786.9 min
Step 14950/500000 | t=1.50e+00 | T=7379.7 | a=1.000036 | H=2.41e-05 | 10.3 steps/s | 97.51 ms/step | ETA: 788.3 min
