Step 21585/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.6 steps/s | 68.33 ms/step | ETA: 11387771.8 min
Step 21590/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.6 steps/s | 68.43 ms/step | ETA: 11405470.8 min
Step 21595/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.6 steps/s | 68.63 ms/step | ETA: 11438514.0 min
Step 21600/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.5 steps/s | 68.74 ms/step | ETA: 11455842.8 min
Step 21605/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.5 steps/s | 68.84 ms/step | ETA: 11473454.5 min
Step 21610/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.5 steps/s | 68.94 ms/step | ETA: 11490609.3 min
Step 21615/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.5 steps/s | 69.05 ms/step | ETA: 11507860.5 min
Step 21620/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.5 steps/s | 69.16 ms/step | ETA: 11525878.1 min
Step 21625/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.4 steps/s | 69.26 ms/step | ETA: 11543436.7 min
Step 21630/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.4 steps/s | 69.36 ms/step | ETA: 11560356.3 min
Step 21635/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.4 steps/s | 69.47 ms/step | ETA: 11578899.1 min
Step 21640/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.4 steps/s | 69.57 ms/step | ETA: 11595506.8 min
Step 21645/10000000000 | t=1.08e+00 | T=7369.8 | a=1.000026 | H=2.41e-05 | 14.3 steps/s | 69.78 ms/step | ETA: 11630381.3 min
