Step 2250000/1000000000 | t=5.63e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 411.5 steps/s | 2.43 ms/step | ETA: 40406.3 min
Step 2300000/1000000000 | t=5.75e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 411.3 steps/s | 2.43 ms/step | ETA: 40432.8 min
Step 2350000/1000000000 | t=5.88e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 410.9 steps/s | 2.43 ms/step | ETA: 40463.9 min
Step 2400000/1000000000 | t=6.00e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 410.7 steps/s | 2.44 ms/step | ETA: 40487.5 min
Step 2450000/1000000000 | t=6.13e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.5 steps/s | 2.44 ms/step | ETA: 40500.3 min
Step 2500000/1000000000 | t=6.25e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.3 steps/s | 2.44 ms/step | ETA: 40518.5 min
Step 2550000/1000000000 | t=6.38e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.1 steps/s | 2.44 ms/step | ETA: 40536.2 min
Step 2600000/1000000000 | t=6.50e-01 | T=7345.9 | a=1.000016 | H=2.41e-05 | 410.0 steps/s | 2.44 ms/step | ETA: 40548.6 min
Step 2650000/1000000000 | t=6.63e-01 | T=7345.9 | a=1.000016 | H=2.41e-05 | 409.7 steps/s | 2.44 ms/step | ETA: 40568.9 min
Step 2700000/1000000000 | t=6.75e-01 | T=7345.9 | a=1.000016 | H=2.41e-05 | 409.4 steps/s | 2.44 ms/step | ETA: 40596.3 min
Step 2750000/1000000000 | t=6.88e-01 | T=7345.9 | a=1.000017 | H=2.41e-05 | 409.2 steps/s | 2.44 ms/step | ETA: 40613.7 min
Step 2800000/1000000000 | t=7.00e-01 | T=7345.9 | a=1.000017 | H=2.41e-05 | 409.1 steps/s | 2.44 ms/step | ETA: 40623.3 min
Step 2850000/1000000000 | t=7.13e-01 | T=7345.9 | a=1.000017 | H=2.41e-05 | 408.9 steps/s | 2.45 ms/step | ETA: 40638.7 min
Step 2900000/1000000000 | t=7.25e-01 | T=7345.9 | a=1.000017 | H=2.41e-05 | 408.9 steps/s | 2.45 ms/step | ETA: 40644.9 min
Step 2950000/1000000000 | t=7.38e-01 | T=7345.9 | a=1.000018 | H=2.41e-05 | 408.6 steps/s | 2.45 ms/step | ETA: 40665.6 min
Step 3000000/1000000000 | t=7.50e-01 | T=7345.9 | a=1.000018 | H=2.41e-05 | 408.4 steps/s | 2.45 ms/step | ETA: 40688.9 min
Step 3050000/1000000000 | t=7.63e-01 | T=7345.9 | a=1.000018 | H=2.41e-05 | 408.2 steps/s | 2.45 ms/step | ETA: 40702.7 min
Step 3100000/1000000000 | t=7.75e-01 | T=7345.9 | a=1.000019 | H=2.41e-05 | 408.1 steps/s | 2.45 ms/step | ETA: 40710.1 min
Step 3150000/1000000000 | t=7.88e-01 | T=7345.9 | a=1.000019 | H=2.41e-05 | 408.0 steps/s | 2.45 ms/step | ETA: 40720.2 min
Step 3200000/1000000000 | t=8.00e-01 | T=7345.9 | a=1.000019 | H=2.41e-05 | 407.9 steps/s | 2.45 ms/step | ETA: 40729.2 min
Step 3250000/1000000000 | t=8.13e-01 | T=7345.9 | a=1.000020 | H=2.41e-05 | 407.8 steps/s | 2.45 ms/step | ETA: 40732.7 min
Step 3300000/1000000000 | t=8.25e-01 | T=7345.9 | a=1.000020 | H=2.41e-05 | 407.8 steps/s | 2.45 ms/step | ETA: 40736.1 min
Step 3350000/1000000000 | t=8.38e-01 | T=7345.9 | a=1.000020 | H=2.41e-05 | 407.7 steps/s | 2.45 ms/step | ETA: 40741.2 min
Step 3400000/1000000000 | t=8.50e-01 | T=7345.8 | a=1.000020 | H=2.41e-05 | 407.7 steps/s | 2.45 ms/step | ETA: 40744.1 min
Step 3450000/1000000000 | t=8.63e-01 | T=7345.8 | a=1.000021 | H=2.41e-05 | 407.6 steps/s | 2.45 ms/step | ETA: 40750.9 min
Step 3500000/1000000000 | t=8.75e-01 | T=7345.8 | a=1.000021 | H=2.41e-05 | 407.5 steps/s | 2.45 ms/step | ETA: 40760.6 min
Step 3550000/1000000000 | t=8.88e-01 | T=7345.8 | a=1.000021 | H=2.41e-05 | 407.4 steps/s | 2.45 ms/step | ETA: 40768.3 min
Step 3600000/1000000000 | t=9.00e-01 | T=7345.8 | a=1.000022 | H=2.41e-05 | 407.3 steps/s | 2.46 ms/step | ETA: 40772.3 min
Step 3650000/1000000000 | t=9.13e-01 | T=7345.8 | a=1.000022 | H=2.41e-05 | 407.2 steps/s | 2.46 ms/step | ETA: 40780.3 min
Step 3700000/1000000000 | t=9.25e-01 | T=7345.8 | a=1.000022 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40784.7 min
Step 3750000/1000000000 | t=9.38e-01 | T=7345.8 | a=1.000023 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40788.1 min
Step 3800000/1000000000 | t=9.50e-01 | T=7345.8 | a=1.000023 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40785.6 min
Step 3850000/1000000000 | t=9.63e-01 | T=7345.8 | a=1.000023 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40779.3 min
Step 3900000/1000000000 | t=9.75e-01 | T=7345.8 | a=1.000023 | H=2.41e-05 | 407.1 steps/s | 2.46 ms/step | ETA: 40776.2 min
Step 3950000/1000000000 | t=9.88e-01 | T=7345.8 | a=1.000024 | H=2.41e-05 | 407.2 steps/s | 2.46 ms/step | ETA: 40769.5 min
Step 4000000/1000000000 | t=1.00e+00 | T=7345.8 | a=1.000024 | H=2.41e-05 | 407.2 steps/s | 2.46 ms/step | ETA: 40767.6 min
Step 4050000/1000000000 | t=1.01e+00 | T=7345.8 | a=1.000024 | H=2.41e-05 | 407.2 steps/s | 2.46 ms/step | ETA: 40763.8 min
