Step 40000/10000000000 | t=8.00e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.92 ms/step | ETA: 13653458.1 min
Step 40100/10000000000 | t=8.02e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.95 ms/step | ETA: 13658867.7 min
Step 40200/10000000000 | t=8.04e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 81.99 ms/step | ETA: 13664942.8 min
Step 40300/10000000000 | t=8.06e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 82.08 ms/step | ETA: 13679230.3 min
Step 40400/10000000000 | t=8.08e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 82.11 ms/step | ETA: 13684356.0 min
Step 40500/10000000000 | t=8.10e-01 | T=7349.9 | a=1.000019 | H=2.41e-05 | 12.2 steps/s | 82.14 ms/step | ETA: 13690476.5 min
Step 40600/10000000000 | t=8.12e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.2 steps/s | 82.21 ms/step | ETA: 13701987.2 min
Step 40700/10000000000 | t=8.14e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.2 steps/s | 82.25 ms/step | ETA: 13707881.3 min
Step 40800/10000000000 | t=8.16e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.2 steps/s | 82.28 ms/step | ETA: 13712527.4 min
Step 40900/10000000000 | t=8.18e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.2 steps/s | 82.30 ms/step | ETA: 13717171.0 min
Step 41000/10000000000 | t=8.20e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.33 ms/step | ETA: 13721605.9 min
Step 41100/10000000000 | t=8.22e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.36 ms/step | ETA: 13726381.3 min
Step 41200/10000000000 | t=8.24e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.40 ms/step | ETA: 13732820.8 min
Step 41300/10000000000 | t=8.26e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.48 ms/step | ETA: 13746604.3 min
Step 41400/10000000000 | t=8.28e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.51 ms/step | ETA: 13751007.5 min
Step 41500/10000000000 | t=8.30e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.54 ms/step | ETA: 13755953.0 min
Step 41600/10000000000 | t=8.32e-01 | T=7349.9 | a=1.000020 | H=2.41e-05 | 12.1 steps/s | 82.57 ms/step | ETA: 13761300.1 min
