Step 63000/10000000000 | t=6.30e+00 | T=7448.9 | a=1.000152 | H=2.41e-05 | 7.0 steps/s | 141.89 ms/step | ETA: 23647705.0 min
Step 64000/10000000000 | t=6.40e+00 | T=7448.9 | a=1.000154 | H=2.41e-05 | 7.1 steps/s | 140.88 ms/step | ETA: 23479073.3 min
Step 65000/10000000000 | t=6.50e+00 | T=7448.8 | a=1.000156 | H=2.41e-05 | 7.1 steps/s | 139.88 ms/step | ETA: 23313796.8 min
Step 66000/10000000000 | t=6.60e+00 | T=7448.8 | a=1.000159 | H=2.41e-05 | 7.2 steps/s | 138.92 ms/step | ETA: 23153329.7 min
Step 67000/10000000000 | t=6.70e+00 | T=7448.8 | a=1.000161 | H=2.41e-05 | 7.2 steps/s | 137.99 ms/step | ETA: 22998923.2 min
Step 68000/10000000000 | t=6.80e+00 | T=7448.8 | a=1.000164 | H=2.41e-05 | 7.3 steps/s | 137.10 ms/step | ETA: 22850124.3 min
Step 69000/10000000000 | t=6.90e+00 | T=7448.8 | a=1.000166 | H=2.41e-05 | 7.3 steps/s | 136.22 ms/step | ETA: 22703102.9 min
Step 70000/10000000000 | t=7.00e+00 | T=7448.7 | a=1.000168 | H=2.41e-05 | 7.4 steps/s | 135.36 ms/step | ETA: 22560586.0 min
Step 71000/10000000000 | t=7.10e+00 | T=7448.7 | a=1.000171 | H=2.41e-05 | 7.4 steps/s | 134.58 ms/step | ETA: 22430282.3 min
Step 72000/10000000000 | t=7.20e+00 | T=7448.7 | a=1.000173 | H=2.41e-05 | 7.5 steps/s | 133.77 ms/step | ETA: 22295604.7 min
Step 73000/10000000000 | t=7.30e+00 | T=7448.7 | a=1.000176 | H=2.41e-05 | 7.5 steps/s | 133.00 ms/step | ETA: 22165882.7 min
Step 74000/10000000000 | t=7.40e+00 | T=7448.7 | a=1.000178 | H=2.41e-05 | 7.6 steps/s | 132.25 ms/step | ETA: 22041362.2 min
Step 75000/10000000000 | t=7.50e+00 | T=7448.7 | a=1.000180 | H=2.41e-05 | 7.6 steps/s | 131.52 ms/step | ETA: 21919018.3 min
Step 76000/10000000000 | t=7.60e+00 | T=7448.6 | a=1.000183 | H=2.41e-05 | 7.6 steps/s | 130.80 ms/step | ETA: 21799546.5 min
Step 77000/10000000000 | t=7.70e+00 | T=7448.6 | a=1.000185 | H=2.41e-05 | 7.7 steps/s | 130.09 ms/step | ETA: 21681664.6 min
Step 78000/10000000000 | t=7.80e+00 | T=7448.6 | a=1.000188 | H=2.41e-05 | 7.7 steps/s | 129.41 ms/step | ETA: 21568006.0 min
Step 79000/10000000000 | t=7.90e+00 | T=7448.6 | a=1.000190 | H=2.41e-05 | 7.8 steps/s | 128.75 ms/step | ETA: 21458560.9 min
Step 80000/10000000000 | t=8.00e+00 | T=7448.6 | a=1.000192 | H=2.41e-05 | 7.8 steps/s | 128.11 ms/step | ETA: 21350690.7 min
Step 81000/10000000000 | t=8.10e+00 | T=7448.5 | a=1.000195 | H=2.41e-05 | 7.8 steps/s | 127.49 ms/step | ETA: 21248229.0 min
Step 82000/10000000000 | t=8.20e+00 | T=7448.5 | a=1.000197 | H=2.41e-05 | 7.9 steps/s | 126.87 ms/step | ETA: 21145034.2 min
Step 83000/10000000000 | t=8.30e+00 | T=7448.5 | a=1.000200 | H=2.41e-05 | 7.9 steps/s | 126.27 ms/step | ETA: 21045152.0 min
Step 84000/10000000000 | t=8.40e+00 | T=7448.5 | a=1.000202 | H=2.41e-05 | 8.0 steps/s | 125.69 ms/step | ETA: 20947414.2 min
Step 85000/10000000000 | t=8.50e+00 | T=7448.5 | a=1.000205 | H=2.41e-05 | 8.0 steps/s | 125.11 ms/step | ETA: 20850713.7 min
Step 86000/10000000000 | t=8.60e+00 | T=7448.5 | a=1.000207 | H=2.41e-05 | 8.0 steps/s | 124.54 ms/step | ETA: 20756425.2 min
Step 87000/10000000000 | t=8.70e+00 | T=7448.4 | a=1.000209 | H=2.41e-05 | 8.1 steps/s | 124.00 ms/step | ETA: 20666091.2 min
Step 88000/10000000000 | t=8.80e+00 | T=7448.4 | a=1.000212 | H=2.41e-05 | 8.1 steps/s | 123.45 ms/step | ETA: 20575631.4 min
Step 89000/10000000000 | t=8.90e+00 | T=7448.4 | a=1.000214 | H=2.41e-05 | 8.1 steps/s | 122.93 ms/step | ETA: 20487803.4 min
Step 90000/10000000000 | t=9.00e+00 | T=7448.4 | a=1.000217 | H=2.41e-05 | 8.2 steps/s | 122.41 ms/step | ETA: 20401949.0 min
Step 91000/10000000000 | t=9.10e+00 | T=7448.4 | a=1.000219 | H=2.41e-05 | 8.2 steps/s | 121.94 ms/step | ETA: 20323512.9 min
Step 92000/10000000000 | t=9.20e+00 | T=7448.4 | a=1.000221 | H=2.41e-05 | 8.2 steps/s | 121.45 ms/step | ETA: 20240977.2 min
Step 93000/10000000000 | t=9.30e+00 | T=7448.3 | a=1.000224 | H=2.41e-05 | 8.3 steps/s | 120.97 ms/step | ETA: 20161230.6 min
Step 94000/10000000000 | t=9.40e+00 | T=7448.3 | a=1.000226 | H=2.41e-05 | 8.3 steps/s | 120.50 ms/step | ETA: 20082362.7 min
Step 95000/10000000000 | t=9.50e+00 | T=7448.3 | a=1.000229 | H=2.41e-05 | 8.3 steps/s | 120.04 ms/step | ETA: 20006905.3 min
Step 96000/10000000000 | t=9.60e+00 | T=7448.3 | a=1.000231 | H=2.41e-05 | 8.4 steps/s | 119.59 ms/step | ETA: 19930772.3 min
Step 97000/10000000000 | t=9.70e+00 | T=7448.3 | a=1.000233 | H=2.41e-05 | 8.4 steps/s | 119.14 ms/step | ETA: 19856220.2 min
