Step 2300000/1000000000 | t=2.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36025.5 min
Step 2350000/1000000000 | t=2.35e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36020.6 min
Step 2400000/1000000000 | t=2.40e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36019.6 min
Step 2450000/1000000000 | t=2.45e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 36030.8 min
Step 2500000/1000000000 | t=2.50e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 36034.2 min
Step 2550000/1000000000 | t=2.55e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 36032.0 min
Step 2600000/1000000000 | t=2.60e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 36020.4 min
Step 2650000/1000000000 | t=2.65e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36013.8 min
Step 2700000/1000000000 | t=2.70e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36008.1 min
Step 2750000/1000000000 | t=2.75e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.6 steps/s | 2.17 ms/step | ETA: 36006.7 min
Step 2800000/1000000000 | t=2.80e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 36012.4 min
Step 2850000/1000000000 | t=2.85e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 36011.8 min
Step 2900000/1000000000 | t=2.90e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.5 steps/s | 2.17 ms/step | ETA: 36013.0 min
Step 2950000/1000000000 | t=2.95e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.3 steps/s | 2.17 ms/step | ETA: 36023.0 min
Step 3000000/1000000000 | t=3.00e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.2 steps/s | 2.17 ms/step | ETA: 36025.7 min
Step 3050000/1000000000 | t=3.05e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.4 steps/s | 2.17 ms/step | ETA: 36015.4 min
Step 3100000/1000000000 | t=3.10e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.3 steps/s | 2.17 ms/step | ETA: 36021.1 min
Step 3150000/1000000000 | t=3.15e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 36030.8 min
Step 3200000/1000000000 | t=3.20e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 36030.5 min
Step 3250000/1000000000 | t=3.25e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 36026.3 min
Step 3300000/1000000000 | t=3.30e-02 | T=7341.0 | a=1.000001 | H=2.41e-05 | 461.1 steps/s | 2.17 ms/step | ETA: 36024.3 min
